days,repository_language,lang_count
2012-03-11,CoffeeScript,597
2012-03-12,CoffeeScript,987
2012-03-13,CoffeeScript,1125
2012-03-14,CoffeeScript,768
2012-03-15,CoffeeScript,936
2012-03-16,CoffeeScript,1005
2012-03-17,CoffeeScript,543
2012-03-18,CoffeeScript,567
2012-03-19,CoffeeScript,891
2012-03-20,CoffeeScript,702
2012-03-21,CoffeeScript,1287
2012-03-22,CoffeeScript,915
2012-03-23,CoffeeScript,654
2012-03-24,CoffeeScript,627
2012-03-25,CoffeeScript,657
2012-03-26,CoffeeScript,591
2012-03-27,CoffeeScript,837
2012-03-28,CoffeeScript,813
2012-03-29,CoffeeScript,981
2012-03-30,CoffeeScript,1020
2012-03-31,CoffeeScript,807
2012-04-01,CoffeeScript,753
2012-04-02,CoffeeScript,1224
2012-04-03,CoffeeScript,1257
2012-04-04,CoffeeScript,1074
2012-04-05,CoffeeScript,1038
2012-04-06,CoffeeScript,840
2012-04-07,CoffeeScript,678
2012-04-08,CoffeeScript,972
2012-04-09,CoffeeScript,1200
2012-04-10,CoffeeScript,1029
2012-04-11,CoffeeScript,972
2012-04-12,CoffeeScript,858
2012-04-13,CoffeeScript,930
2012-04-14,CoffeeScript,849
2012-04-15,CoffeeScript,849
2012-04-16,CoffeeScript,1155
2012-04-17,CoffeeScript,915
2012-04-18,CoffeeScript,849
2012-04-19,CoffeeScript,1113
2012-04-20,CoffeeScript,1413
2012-04-21,CoffeeScript,894
2012-04-22,CoffeeScript,1080
2012-04-23,CoffeeScript,1227
2012-04-24,CoffeeScript,1281
2012-04-25,CoffeeScript,1023
2012-04-26,CoffeeScript,1002
2012-04-27,CoffeeScript,1023
2012-04-28,CoffeeScript,969
2012-04-29,CoffeeScript,873
2012-04-30,CoffeeScript,903
2012-05-01,CoffeeScript,1050
2012-05-02,CoffeeScript,1041
2012-05-03,CoffeeScript,1020
2012-05-04,CoffeeScript,972
2012-05-05,CoffeeScript,798
2012-05-06,CoffeeScript,816
2012-05-07,CoffeeScript,1641
2012-05-08,CoffeeScript,1515
2012-05-09,CoffeeScript,987
2012-05-10,CoffeeScript,1377
2012-05-11,CoffeeScript,1023
2012-05-12,CoffeeScript,786
2012-05-13,CoffeeScript,1047
2012-05-14,CoffeeScript,1227
2012-05-15,CoffeeScript,876
2012-05-16,CoffeeScript,1050
2012-05-17,CoffeeScript,795
2012-05-18,CoffeeScript,924
2012-05-19,CoffeeScript,897
2012-05-20,CoffeeScript,906
2012-05-21,CoffeeScript,1158
2012-05-22,CoffeeScript,1269
2012-05-23,CoffeeScript,1611
2012-05-24,CoffeeScript,1464
2012-05-25,CoffeeScript,981
2012-05-26,CoffeeScript,561
2012-05-27,CoffeeScript,735
2012-05-28,CoffeeScript,1086
2012-05-29,CoffeeScript,1260
2012-05-30,CoffeeScript,1368
2012-05-31,CoffeeScript,831
2012-06-01,CoffeeScript,915
2012-06-02,CoffeeScript,1164
2012-06-03,CoffeeScript,1131
2012-06-04,CoffeeScript,1095
2012-06-05,CoffeeScript,1119
2012-06-06,CoffeeScript,1227
2012-06-07,CoffeeScript,1320
2012-06-08,CoffeeScript,1047
2012-06-09,CoffeeScript,834
2012-06-10,CoffeeScript,1038
2012-06-11,CoffeeScript,1026
2012-06-12,CoffeeScript,1299
2012-06-13,CoffeeScript,1254
2012-06-14,CoffeeScript,821
2012-06-15,CoffeeScript,762
2012-06-16,CoffeeScript,440
2012-06-17,CoffeeScript,546
2012-06-18,CoffeeScript,822
2012-06-19,CoffeeScript,946
2012-06-20,CoffeeScript,714
2012-06-21,CoffeeScript,920
2012-06-22,CoffeeScript,752
2012-06-23,CoffeeScript,490
2012-06-24,CoffeeScript,642
2012-06-25,CoffeeScript,786
2012-06-26,CoffeeScript,1006
2012-06-27,CoffeeScript,990
2012-06-28,CoffeeScript,900
2012-06-29,CoffeeScript,804
2012-06-30,CoffeeScript,674
2012-07-01,CoffeeScript,634
2012-07-02,CoffeeScript,1220
2012-07-03,CoffeeScript,900
2012-07-04,CoffeeScript,690
2012-07-05,CoffeeScript,834
2012-07-06,CoffeeScript,670
2012-07-07,CoffeeScript,746
2012-07-08,CoffeeScript,894
2012-07-09,CoffeeScript,802
2012-07-10,CoffeeScript,1068
2012-07-11,CoffeeScript,846
2012-07-12,CoffeeScript,1054
2012-07-13,CoffeeScript,838
2012-07-14,CoffeeScript,536
2012-07-15,CoffeeScript,712
2012-07-16,CoffeeScript,742
2012-07-17,CoffeeScript,946
2012-07-18,CoffeeScript,848
2012-07-19,CoffeeScript,910
2012-07-20,CoffeeScript,734
2012-07-21,CoffeeScript,474
2012-07-22,CoffeeScript,442
2012-07-23,CoffeeScript,720
2012-07-24,CoffeeScript,788
2012-07-25,CoffeeScript,752
2012-07-26,CoffeeScript,680
2012-07-27,CoffeeScript,708
2012-07-28,CoffeeScript,432
2012-07-29,CoffeeScript,626
2012-07-30,CoffeeScript,640
2012-07-31,CoffeeScript,806
2012-08-01,CoffeeScript,690
2012-08-02,CoffeeScript,676
2012-08-03,CoffeeScript,776
2012-08-04,CoffeeScript,638
2012-08-05,CoffeeScript,580
2012-08-06,CoffeeScript,842
2012-08-07,CoffeeScript,690
2012-08-08,CoffeeScript,802
2012-08-09,CoffeeScript,798
2012-08-10,CoffeeScript,780
2012-08-11,CoffeeScript,656
2012-08-12,CoffeeScript,572
2012-08-13,CoffeeScript,684
2012-08-14,CoffeeScript,908
2012-08-15,CoffeeScript,768
2012-08-16,CoffeeScript,810
2012-08-17,CoffeeScript,772
2012-08-18,CoffeeScript,504
2012-08-19,CoffeeScript,1156
2012-08-20,CoffeeScript,1692
2012-08-21,CoffeeScript,1784
2012-08-22,CoffeeScript,1820
2012-08-23,CoffeeScript,1504
2012-08-24,CoffeeScript,1800
2012-08-25,CoffeeScript,1080
2012-08-26,CoffeeScript,1396
2012-08-27,CoffeeScript,1948
2012-08-28,CoffeeScript,1876
2012-08-29,CoffeeScript,1900
2012-08-30,CoffeeScript,1680
2012-08-31,CoffeeScript,1564
2012-09-01,CoffeeScript,758
2012-09-02,CoffeeScript,660
2012-09-03,CoffeeScript,786
2012-09-04,CoffeeScript,734
2012-09-05,CoffeeScript,768
2012-09-06,CoffeeScript,742
2012-09-07,CoffeeScript,694
2012-09-08,CoffeeScript,508
2012-09-09,CoffeeScript,688
2012-09-10,CoffeeScript,784
2012-09-11,CoffeeScript,790
2012-09-12,CoffeeScript,860
2012-09-13,CoffeeScript,575
2012-09-14,CoffeeScript,391
2012-09-15,CoffeeScript,345
2012-09-16,CoffeeScript,351
2012-09-17,CoffeeScript,461
2012-09-18,CoffeeScript,406
2012-09-19,CoffeeScript,369
2012-09-20,CoffeeScript,325
2012-09-21,CoffeeScript,291
2012-09-22,CoffeeScript,233
2012-09-23,CoffeeScript,268
2012-09-24,CoffeeScript,429
2012-09-25,CoffeeScript,362
2012-09-26,CoffeeScript,499
2012-09-27,CoffeeScript,505
2012-09-28,CoffeeScript,418
2012-09-29,CoffeeScript,321
2012-09-30,CoffeeScript,354
2012-10-01,CoffeeScript,414
2012-10-02,CoffeeScript,427
2012-10-03,CoffeeScript,394
2012-10-04,CoffeeScript,479
2012-10-05,CoffeeScript,411
2012-10-06,CoffeeScript,357
2012-10-07,CoffeeScript,339
2012-10-08,CoffeeScript,504
2012-10-09,CoffeeScript,411
2012-10-10,CoffeeScript,372
2012-10-11,CoffeeScript,383
2012-10-12,CoffeeScript,453
2012-10-13,CoffeeScript,371
2012-10-14,CoffeeScript,477
2012-10-15,CoffeeScript,393
2012-10-16,CoffeeScript,435
2012-10-17,CoffeeScript,445
2012-10-18,CoffeeScript,530
2012-10-19,CoffeeScript,414
2012-10-20,CoffeeScript,349
2012-10-21,CoffeeScript,237
2012-10-22,CoffeeScript,464
2012-10-23,CoffeeScript,427
2012-10-24,CoffeeScript,373
2012-10-25,CoffeeScript,531
2012-10-26,CoffeeScript,508
2012-10-27,CoffeeScript,329
