days,repository_language,lang_count
2012-03-11,Go,195
2012-03-12,Go,273
2012-03-13,Go,354
2012-03-14,Go,423
2012-03-15,Go,330
2012-03-16,Go,384
2012-03-17,Go,306
2012-03-18,Go,369
2012-03-19,Go,384
2012-03-20,Go,381
2012-03-21,Go,384
2012-03-22,Go,444
2012-03-23,Go,267
2012-03-24,Go,393
2012-03-25,Go,405
2012-03-26,Go,531
2012-03-27,Go,456
2012-03-28,Go,693
2012-03-29,Go,696
2012-03-30,Go,528
2012-03-31,Go,462
2012-04-01,Go,555
2012-04-02,Go,534
2012-04-03,Go,558
2012-04-04,Go,393
2012-04-05,Go,540
2012-04-06,Go,582
2012-04-07,Go,369
2012-04-08,Go,510
2012-04-09,Go,558
2012-04-10,Go,561
2012-04-11,Go,426
2012-04-12,Go,447
2012-04-13,Go,486
2012-04-14,Go,444
2012-04-15,Go,408
2012-04-16,Go,615
2012-04-17,Go,531
2012-04-18,Go,735
2012-04-19,Go,528
2012-04-20,Go,606
2012-04-21,Go,519
2012-04-22,Go,477
2012-04-23,Go,477
2012-04-24,Go,531
2012-04-25,Go,561
2012-04-26,Go,501
2012-04-27,Go,555
2012-04-28,Go,507
2012-04-29,Go,333
2012-04-30,Go,375
2012-05-01,Go,456
2012-05-02,Go,372
2012-05-03,Go,522
2012-05-04,Go,534
2012-05-05,Go,366
2012-05-06,Go,339
2012-05-07,Go,522
2012-05-08,Go,366
2012-05-09,Go,519
2012-05-10,Go,507
2012-05-11,Go,555
2012-05-12,Go,261
2012-05-13,Go,465
2012-05-14,Go,429
2012-05-15,Go,450
2012-05-16,Go,387
2012-05-17,Go,411
2012-05-18,Go,393
2012-05-19,Go,408
2012-05-20,Go,333
2012-05-21,Go,414
2012-05-22,Go,540
2012-05-23,Go,522
2012-05-24,Go,450
2012-05-25,Go,348
2012-05-26,Go,354
2012-05-27,Go,540
2012-05-28,Go,438
2012-05-29,Go,402
2012-05-30,Go,456
2012-05-31,Go,435
2012-06-01,Go,366
2012-06-02,Go,333
2012-06-03,Go,396
2012-06-04,Go,510
2012-06-05,Go,477
2012-06-06,Go,306
2012-06-07,Go,372
2012-06-08,Go,414
2012-06-09,Go,315
2012-06-10,Go,246
2012-06-11,Go,402
2012-06-12,Go,450
2012-06-13,Go,360
2012-06-14,Go,341
2012-06-15,Go,320
2012-06-16,Go,346
2012-06-17,Go,268
2012-06-18,Go,236
2012-06-19,Go,474
2012-06-20,Go,366
2012-06-21,Go,366
2012-06-22,Go,354
2012-06-23,Go,210
2012-06-24,Go,388
2012-06-25,Go,314
2012-06-26,Go,270
2012-06-27,Go,388
2012-06-28,Go,310
2012-06-29,Go,310
2012-06-30,Go,336
2012-07-01,Go,254
2012-07-02,Go,302
2012-07-03,Go,276
2012-07-04,Go,334
2012-07-05,Go,366
2012-07-06,Go,372
2012-07-07,Go,416
2012-07-08,Go,378
2012-07-09,Go,472
2012-07-10,Go,412
2012-07-11,Go,494
2012-07-12,Go,324
2012-07-13,Go,384
2012-07-14,Go,334
2012-07-15,Go,392
2012-07-16,Go,424
2012-07-17,Go,388
2012-07-18,Go,408
2012-07-19,Go,378
2012-07-20,Go,384
2012-07-21,Go,324
2012-07-22,Go,306
2012-07-23,Go,352
2012-07-24,Go,550
2012-07-25,Go,428
2012-07-26,Go,376
2012-07-27,Go,476
2012-07-28,Go,312
2012-07-29,Go,356
2012-07-30,Go,382
2012-07-31,Go,334
2012-08-01,Go,346
2012-08-02,Go,418
2012-08-03,Go,398
2012-08-04,Go,250
2012-08-05,Go,302
2012-08-06,Go,390
2012-08-07,Go,454
2012-08-08,Go,444
2012-08-09,Go,436
2012-08-10,Go,512
2012-08-11,Go,500
2012-08-12,Go,422
2012-08-13,Go,438
2012-08-14,Go,422
2012-08-15,Go,334
2012-08-16,Go,452
2012-08-17,Go,526
2012-08-18,Go,310
2012-08-19,Go,742
2012-08-20,Go,956
2012-08-21,Go,896
2012-08-22,Go,932
2012-08-23,Go,848
2012-08-24,Go,1000
2012-08-25,Go,1076
2012-08-26,Go,1108
2012-08-27,Go,1260
2012-08-28,Go,872
2012-08-29,Go,1140
2012-08-30,Go,1304
2012-08-31,Go,1202
2012-09-01,Go,440
2012-09-02,Go,464
2012-09-03,Go,570
2012-09-04,Go,484
2012-09-05,Go,678
2012-09-06,Go,624
2012-09-07,Go,712
2012-09-08,Go,340
2012-09-09,Go,330
2012-09-10,Go,526
2012-09-11,Go,500
2012-09-12,Go,648
2012-09-13,Go,374
2012-09-14,Go,306
2012-09-15,Go,258
2012-09-16,Go,265
2012-09-17,Go,298
2012-09-18,Go,349
2012-09-19,Go,386
2012-09-20,Go,336
2012-09-21,Go,274
2012-09-22,Go,233
2012-09-23,Go,225
2012-09-24,Go,287
2012-09-25,Go,249
2012-09-26,Go,311
2012-09-27,Go,285
2012-09-28,Go,200
2012-09-29,Go,198
2012-09-30,Go,217
2012-10-01,Go,272
2012-10-02,Go,269
2012-10-03,Go,245
2012-10-04,Go,268
2012-10-05,Go,254
2012-10-06,Go,235
2012-10-07,Go,279
2012-10-08,Go,439
2012-10-09,Go,378
2012-10-10,Go,338
2012-10-11,Go,384
2012-10-12,Go,354
2012-10-13,Go,282
2012-10-14,Go,295
2012-10-15,Go,374
2012-10-16,Go,339
2012-10-17,Go,337
2012-10-18,Go,370
2012-10-19,Go,298
2012-10-20,Go,238
2012-10-21,Go,242
2012-10-22,Go,369
2012-10-23,Go,232
2012-10-24,Go,294
2012-10-25,Go,286
2012-10-26,Go,286
2012-10-27,Go,243
2012-10-28,Go,240
2012-10-29,Go,338
2012-10-30,Go,300
2012-10-31,Go,365
2012-11-01,Go,383
2012-11-02,Go,352
2012-11-03,Go,210
2012-11-04,Go,329
2012-11-05,Go,327
2012-11-06,Go,371
2012-11-07,Go,394
2012-11-08,Go,308
2012-11-09,Go,351
2012-11-10,Go,293
2012-11-11,Go,248
2012-11-12,Go,321
2012-11-13,Go,296
2012-11-14,Go,341
2012-11-15,Go,357
2012-11-16,Go,335
2012-11-17,Go,229
2012-11-18,Go,269
2012-11-19,Go,315
2012-11-20,Go,306
2012-11-21,Go,309
2012-11-22,Go,275
2012-11-23,Go,239
2012-11-24,Go,295
2012-11-25,Go,202
2012-11-26,Go,320
2012-11-27,Go,342
2012-11-28,Go,308
2012-11-29,Go,288
2012-11-30,Go,332
2012-12-01,Go,316
2012-12-02,Go,250
2012-12-03,Go,351
2012-12-04,Go,341
2012-12-05,Go,275
2012-12-06,Go,306
2012-12-07,Go,366
2012-12-08,Go,292
2012-12-09,Go,360
2012-12-10,Go,345
2012-12-11,Go,393
2012-12-12,Go,386
2012-12-13,Go,309
2012-12-14,Go,298
