days,repository_language,lang_count
2013-09-10,PHP,10047
2012-04-13,PHP,15888
2013-01-16,PHP,7244
2012-04-02,PHP,14766
2012-09-20,PHP,7258
2013-06-06,PHP,9999
2012-10-07,PHP,4399
2012-07-21,PHP,6944
2013-09-19,PHP,8534
2012-09-22,PHP,3856
2013-01-19,PHP,4450
2013-05-01,PHP,9090
2013-09-16,PHP,11021
2012-06-13,PHP,16392
2013-07-15,PHP,9907
2013-04-11,PHP,10908
2012-03-18,PHP,10917
2013-03-11,PHP,9219
2013-06-10,PHP,9709
2013-03-02,PHP,5905
2013-06-05,PHP,10649
2013-04-24,PHP,10691
2013-01-29,PHP,8424
2013-01-28,PHP,7921
2012-09-19,PHP,7314
2012-11-17,PHP,5093
2013-02-08,PHP,7220
2013-01-08,PHP,8196
2012-12-04,PHP,8536
2012-12-26,PHP,4778
2012-10-06,PHP,4361
2013-02-09,PHP,4748
2012-04-01,PHP,10140
2012-09-23,PHP,4267
2013-09-03,PHP,10161
2013-05-08,PHP,10022
2013-07-24,PHP,9903
2013-01-14,PHP,7828
2012-10-14,PHP,4416
2012-05-03,PHP,17421
2012-05-29,PHP,16341
2013-06-28,PHP,9081
2013-08-22,PHP,10374
2012-10-18,PHP,7050
2013-10-02,PHP,10881
2012-12-13,PHP,8274
2012-12-01,PHP,4747
2012-10-31,PHP,7616
2012-03-28,PHP,16482
2012-10-10,PHP,7427
2012-05-20,PHP,10605
2012-07-06,PHP,11038
2013-04-14,PHP,6866
2012-04-24,PHP,17742
2013-06-16,PHP,5985
2012-03-26,PHP,15957
2013-10-01,PHP,10220
2012-10-30,PHP,7610
2012-04-11,PHP,15432
2013-07-16,PHP,10455
2012-08-07,PHP,11134
2013-06-23,PHP,6369
2013-08-04,PHP,5742
2012-06-22,PHP,10642
2012-03-29,PHP,16242
2013-01-02,PHP,6194
2013-02-21,PHP,9058
2013-01-05,PHP,5139
2013-02-02,PHP,4397
2012-08-09,PHP,12088
2012-10-09,PHP,7274
2013-02-23,PHP,5928
2013-05-17,PHP,9521
2012-06-30,PHP,6652
2012-10-16,PHP,7489
2012-03-15,PHP,14739
2013-01-12,PHP,4876
2013-03-12,PHP,9572
2013-01-11,PHP,7967
2013-07-05,PHP,8843
2013-03-15,PHP,9195
2013-06-03,PHP,10515
2012-05-08,PHP,15366
2012-05-19,PHP,9087
2012-06-06,PHP,15945
