days,repository_language,lang_count
2012-03-11,Elixir,3
2012-03-12,Elixir,15
2012-03-13,Elixir,9
2012-03-14,Elixir,30
2012-03-15,Elixir,9
2012-03-16,Elixir,21
2012-03-17,Elixir,6
2012-03-18,Elixir,3
2012-03-19,Elixir,45
2012-03-20,Elixir,21
2012-03-21,Elixir,9
2012-03-22,Elixir,9
2012-03-23,Elixir,18
2012-03-24,Elixir,30
2012-03-25,Elixir,42
2012-03-26,Elixir,48
2012-03-27,Elixir,36
2012-03-28,Elixir,48
2012-03-29,Elixir,48
2012-03-30,Elixir,39
2012-03-31,Elixir,18
2012-04-01,Elixir,39
2012-04-02,Elixir,93
2012-04-03,Elixir,45
2012-04-04,Elixir,54
2012-04-05,Elixir,51
2012-04-06,Elixir,21
2012-04-07,Elixir,3
2012-04-09,Elixir,18
2012-04-10,Elixir,33
2012-04-11,Elixir,51
2012-04-12,Elixir,24
2012-04-13,Elixir,66
2012-04-14,Elixir,12
2012-04-15,Elixir,15
2012-04-16,Elixir,12
2012-04-17,Elixir,24
2012-04-18,Elixir,33
2012-04-19,Elixir,18
2012-04-20,Elixir,12
2012-04-21,Elixir,33
2012-04-22,Elixir,30
2012-04-23,Elixir,12
2012-04-24,Elixir,18
2012-04-25,Elixir,45
2012-04-26,Elixir,60
2012-04-27,Elixir,18
2012-04-28,Elixir,9
2012-04-29,Elixir,18
2012-04-30,Elixir,39
2012-05-01,Elixir,9
2012-05-02,Elixir,42
2012-05-03,Elixir,21
2012-05-04,Elixir,39
2012-05-05,Elixir,60
2012-05-06,Elixir,24
2012-05-07,Elixir,39
2012-05-08,Elixir,84
2012-05-09,Elixir,15
2012-05-10,Elixir,15
2012-05-11,Elixir,15
2012-05-12,Elixir,15
2012-05-13,Elixir,21
2012-05-15,Elixir,6
2012-05-16,Elixir,18
2012-05-17,Elixir,6
2012-05-18,Elixir,21
2012-05-19,Elixir,12
2012-05-20,Elixir,24
2012-05-21,Elixir,78
2012-05-22,Elixir,12
2012-05-23,Elixir,12
2012-05-24,Elixir,36
2012-05-25,Elixir,21
2012-05-27,Elixir,6
2012-05-28,Elixir,81
2012-05-29,Elixir,36
2012-05-30,Elixir,75
2012-05-31,Elixir,30
2012-06-01,Elixir,63
2012-06-02,Elixir,45
2012-06-03,Elixir,33
2012-06-04,Elixir,39
2012-06-05,Elixir,30
2012-06-06,Elixir,54
2012-06-07,Elixir,60
2012-06-08,Elixir,39
2012-06-09,Elixir,9
2012-06-10,Elixir,36
2012-06-11,Elixir,24
2012-06-12,Elixir,15
2012-06-13,Elixir,18
2012-06-14,Elixir,7
2012-06-15,Elixir,6
2012-06-16,Elixir,14
2012-06-17,Elixir,8
2012-06-18,Elixir,14
2012-06-19,Elixir,6
2012-06-21,Elixir,12
2012-06-22,Elixir,4
2012-06-23,Elixir,6
2012-06-24,Elixir,2
2012-06-26,Elixir,14
2012-06-27,Elixir,14
2012-06-28,Elixir,26
2012-06-29,Elixir,4
2012-06-30,Elixir,2
2012-07-02,Elixir,10
2012-07-03,Elixir,14
2012-07-04,Elixir,12
2012-07-05,Elixir,20
2012-07-06,Elixir,6
2012-07-07,Elixir,22
2012-07-08,Elixir,16
2012-07-09,Elixir,10
2012-07-10,Elixir,32
2012-07-11,Elixir,16
2012-07-12,Elixir,18
2012-07-13,Elixir,18
2012-07-14,Elixir,8
2012-07-15,Elixir,4
2012-07-16,Elixir,10
2012-07-17,Elixir,4
2012-07-18,Elixir,10
2012-07-19,Elixir,34
2012-07-20,Elixir,8
2012-07-21,Elixir,8
2012-07-22,Elixir,10
2012-07-23,Elixir,20
2012-07-24,Elixir,12
2012-07-25,Elixir,20
2012-07-26,Elixir,22
2012-07-27,Elixir,14
2012-07-28,Elixir,14
2012-07-29,Elixir,14
2012-07-30,Elixir,38
2012-07-31,Elixir,22
2012-08-01,Elixir,10
2012-08-02,Elixir,8
2012-08-03,Elixir,4
2012-08-04,Elixir,4
2012-08-06,Elixir,24
2012-08-07,Elixir,28
2012-08-08,Elixir,30
2012-08-09,Elixir,10
2012-08-10,Elixir,18
2012-08-11,Elixir,2
2012-08-12,Elixir,12
2012-08-13,Elixir,6
2012-08-14,Elixir,14
2012-08-15,Elixir,12
2012-08-16,Elixir,8
2012-08-17,Elixir,38
2012-08-18,Elixir,18
2012-08-19,Elixir,4
2012-08-20,Elixir,48
2012-08-21,Elixir,32
2012-08-22,Elixir,92
2012-08-23,Elixir,56
2012-08-24,Elixir,64
2012-08-25,Elixir,28
2012-08-26,Elixir,4
2012-08-27,Elixir,60
2012-08-28,Elixir,44
2012-08-29,Elixir,40
2012-08-30,Elixir,60
2012-08-31,Elixir,6
2012-09-01,Elixir,2
2012-09-02,Elixir,12
2012-09-03,Elixir,4
2012-09-04,Elixir,16
2012-09-05,Elixir,24
2012-09-06,Elixir,38
2012-09-07,Elixir,12
2012-09-08,Elixir,16
2012-09-09,Elixir,32
2012-09-10,Elixir,58
2012-09-11,Elixir,22
2012-09-12,Elixir,20
2012-09-13,Elixir,21
2012-09-14,Elixir,12
2012-09-15,Elixir,18
2012-09-16,Elixir,11
2012-09-17,Elixir,18
2012-09-18,Elixir,32
2012-09-19,Elixir,13
2012-09-20,Elixir,11
2012-09-21,Elixir,3
2012-09-23,Elixir,8
2012-09-24,Elixir,9
2012-09-25,Elixir,23
2012-09-26,Elixir,45
2012-09-27,Elixir,30
2012-09-28,Elixir,32
2012-09-29,Elixir,59
2012-09-30,Elixir,112
2012-10-01,Elixir,25
2012-10-02,Elixir,16
2012-10-03,Elixir,40
2012-10-04,Elixir,20
2012-10-05,Elixir,16
2012-10-06,Elixir,13
2012-10-07,Elixir,5
2012-10-08,Elixir,11
2012-10-09,Elixir,18
2012-10-10,Elixir,18
2012-10-11,Elixir,31
2012-10-12,Elixir,22
2012-10-13,Elixir,26
2012-10-14,Elixir,35
2012-10-15,Elixir,18
2012-10-16,Elixir,6
2012-10-17,Elixir,13
2012-10-18,Elixir,20
2012-10-19,Elixir,20
2012-10-20,Elixir,15
2012-10-21,Elixir,22
2012-10-22,Elixir,12
2012-10-23,Elixir,4
2012-10-24,Elixir,18
2012-10-25,Elixir,13
2012-10-26,Elixir,3
2012-10-27,Elixir,23
2012-10-28,Elixir,11
2012-10-29,Elixir,18
2012-10-30,Elixir,21
2012-10-31,Elixir,17
2012-11-01,Elixir,15
2012-11-02,Elixir,5
2012-11-03,Elixir,3
2012-11-04,Elixir,26
2012-11-05,Elixir,11
2012-11-06,Elixir,17
2012-11-07,Elixir,16
2012-11-08,Elixir,21
2012-11-09,Elixir,3
2012-11-10,Elixir,5
2012-11-11,Elixir,7
2012-11-12,Elixir,8
2012-11-13,Elixir,4
2012-11-14,Elixir,3
2012-11-15,Elixir,11
2012-11-16,Elixir,10
2012-11-17,Elixir,5
2012-11-18,Elixir,5
2012-11-19,Elixir,10
2012-11-20,Elixir,12
2012-11-21,Elixir,1
2012-11-22,Elixir,11
2012-11-23,Elixir,8
2012-11-24,Elixir,17
2012-11-25,Elixir,20
2012-11-26,Elixir,15
2012-11-27,Elixir,16
2012-11-28,Elixir,11
2012-11-29,Elixir,6
2012-11-30,Elixir,35
2012-12-01,Elixir,12
2012-12-02,Elixir,11
2012-12-03,Elixir,22
2012-12-04,Elixir,9
2012-12-05,Elixir,25
2012-12-06,Elixir,30
2012-12-07,Elixir,9
2012-12-08,Elixir,26
2012-12-09,Elixir,13
2012-12-10,Elixir,10
2012-12-11,Elixir,11
2012-12-12,Elixir,9
2012-12-13,Elixir,7
2012-12-14,Elixir,13
2012-12-15,Elixir,2
2012-12-16,Elixir,9
2012-12-17,Elixir,26
2012-12-18,Elixir,7
2012-12-19,Elixir,20
2012-12-20,Elixir,9
2012-12-21,Elixir,14
2012-12-22,Elixir,13
2012-12-23,Elixir,7
2012-12-24,Elixir,22
2012-12-25,Elixir,8
2012-12-26,Elixir,16
2012-12-27,Elixir,9
2012-12-28,Elixir,2
2012-12-29,Elixir,3
2012-12-30,Elixir,5
2012-12-31,Elixir,9
2013-01-01,Elixir,7
2013-01-02,Elixir,17
2013-01-03,Elixir,8
2013-01-04,Elixir,20
2013-01-05,Elixir,19
2013-01-06,Elixir,14
2013-01-07,Elixir,21
2013-01-08,Elixir,21
2013-01-09,Elixir,15
2013-01-10,Elixir,7
2013-01-11,Elixir,7
2013-01-12,Elixir,10
2013-01-13,Elixir,34
2013-01-14,Elixir,6
2013-01-15,Elixir,7
2013-01-16,Elixir,5
2013-01-17,Elixir,12
2013-01-18,Elixir,19
2013-01-19,Elixir,20
2013-01-20,Elixir,37
2013-01-21,Elixir,41
2013-01-22,Elixir,47
2013-01-23,Elixir,30
2013-01-24,Elixir,25
2013-01-25,Elixir,8
2013-01-26,Elixir,10
2013-01-27,Elixir,10
2013-01-28,Elixir,25
2013-01-29,Elixir,9
2013-01-30,Elixir,14
2013-01-31,Elixir,7
2013-02-01,Elixir,5
2013-02-02,Elixir,21
2013-02-03,Elixir,18
2013-02-04,Elixir,4
2013-02-05,Elixir,6
2013-02-06,Elixir,6
2013-02-07,Elixir,3
2013-02-08,Elixir,2
2013-02-09,Elixir,12
2013-02-10,Elixir,4
2013-02-11,Elixir,7
2013-02-12,Elixir,10
2013-02-13,Elixir,9
2013-02-14,Elixir,13
2013-02-15,Elixir,14
2013-02-16,Elixir,6
2013-02-17,Elixir,17
2013-02-18,Elixir,26
2013-02-19,Elixir,20
2013-02-20,Elixir,24
2013-02-21,Elixir,25
2013-02-22,Elixir,25
2013-02-23,Elixir,9
2013-02-24,Elixir,15
2013-02-25,Elixir,23
2013-02-26,Elixir,14
2013-02-27,Elixir,25
2013-02-28,Elixir,35
2013-03-01,Elixir,30
2013-03-02,Elixir,6
2013-03-03,Elixir,6
2013-03-04,Elixir,18
2013-03-05,Elixir,26
2013-03-06,Elixir,15
2013-03-07,Elixir,24
2013-03-08,Elixir,18
2013-03-09,Elixir,24
2013-03-10,Elixir,32
2013-03-11,Elixir,30
2013-03-12,Elixir,12
2013-03-13,Elixir,14
2013-03-14,Elixir,17
2013-03-15,Elixir,33
2013-03-16,Elixir,15
2013-03-17,Elixir,21
2013-03-18,Elixir,39
2013-03-19,Elixir,7
2013-03-20,Elixir,12
2013-03-21,Elixir,8
2013-03-22,Elixir,7
2013-03-23,Elixir,5
2013-03-24,Elixir,9
2013-03-25,Elixir,14
2013-03-26,Elixir,12
2013-03-27,Elixir,8
2013-03-28,Elixir,9
2013-03-29,Elixir,22
2013-03-30,Elixir,13
2013-03-31,Elixir,8
2013-04-01,Elixir,6
2013-04-02,Elixir,5
2013-04-03,Elixir,8
2013-04-04,Elixir,1
2013-04-05,Elixir,4
2013-04-06,Elixir,17
2013-04-07,Elixir,13
2013-04-08,Elixir,21
2013-04-09,Elixir,41
2013-04-10,Elixir,43
2013-04-11,Elixir,31
2013-04-12,Elixir,30
2013-04-13,Elixir,21
2013-04-14,Elixir,34
2013-04-15,Elixir,32
2013-04-16,Elixir,33
2013-04-17,Elixir,30
2013-04-18,Elixir,16
2013-04-19,Elixir,16
2013-04-20,Elixir,14
2013-04-21,Elixir,7
2013-04-22,Elixir,10
2013-04-23,Elixir,25
2013-04-24,Elixir,35
2013-04-25,Elixir,17
2013-04-26,Elixir,17
2013-04-27,Elixir,18
2013-04-28,Elixir,10
2013-04-29,Elixir,22
2013-04-30,Elixir,16
2013-05-01,Elixir,17
2013-05-02,Elixir,15
2013-05-03,Elixir,28
2013-05-04,Elixir,9
2013-05-05,Elixir,21
2013-05-06,Elixir,32
2013-05-07,Elixir,21
2013-05-08,Elixir,23
2013-05-09,Elixir,15
2013-05-10,Elixir,23
2013-05-11,Elixir,12
2013-05-12,Elixir,23
2013-05-13,Elixir,39
2013-05-14,Elixir,29
2013-05-15,Elixir,36
2013-05-16,Elixir,40
2013-05-17,Elixir,46
2013-05-18,Elixir,4
2013-05-19,Elixir,22
2013-05-20,Elixir,29
2013-05-21,Elixir,24
2013-05-22,Elixir,40
2013-05-23,Elixir,46
2013-05-24,Elixir,30
2013-05-25,Elixir,23
2013-05-26,Elixir,27
2013-05-27,Elixir,30
2013-05-28,Elixir,53
2013-05-29,Elixir,32
2013-05-30,Elixir,45
2013-05-31,Elixir,76
2013-06-01,Elixir,57
2013-06-02,Elixir,56
2013-06-03,Elixir,50
2013-06-04,Elixir,80
2013-06-05,Elixir,111
2013-06-06,Elixir,44
2013-06-07,Elixir,53
2013-06-08,Elixir,45
2013-06-09,Elixir,72
2013-06-10,Elixir,20
2013-06-11,Elixir,22
2013-06-12,Elixir,44
2013-06-13,Elixir,51
2013-06-14,Elixir,48
2013-06-15,Elixir,57
2013-06-16,Elixir,56
2013-06-17,Elixir,58
2013-06-18,Elixir,59
2013-06-19,Elixir,37
2013-06-20,Elixir,39
2013-06-21,Elixir,48
2013-06-22,Elixir,63
2013-06-23,Elixir,57
2013-06-24,Elixir,49
2013-06-25,Elixir,44
2013-06-26,Elixir,24
2013-06-27,Elixir,46
2013-06-28,Elixir,46
2013-06-29,Elixir,54
2013-06-30,Elixir,80
2013-07-01,Elixir,62
