days,repository_language,lang_count
2012-03-11,Erlang,216
2012-03-12,Erlang,456
2012-03-13,Erlang,399
2012-03-14,Erlang,306
2012-03-15,Erlang,504
2012-03-16,Erlang,420
2012-03-17,Erlang,345
2012-03-18,Erlang,324
2012-03-19,Erlang,402
2012-03-20,Erlang,396
2012-03-21,Erlang,750
2012-03-22,Erlang,708
2012-03-23,Erlang,462
2012-03-24,Erlang,165
2012-03-25,Erlang,366
2012-03-26,Erlang,537
2012-03-27,Erlang,750
2012-03-28,Erlang,585
2012-03-29,Erlang,510
2012-03-30,Erlang,468
2012-03-31,Erlang,324
2012-04-01,Erlang,240
2012-04-02,Erlang,480
2012-04-03,Erlang,465
2012-04-04,Erlang,420
2012-04-05,Erlang,549
2012-04-06,Erlang,723
2012-04-07,Erlang,351
2012-04-08,Erlang,297
2012-04-09,Erlang,501
2012-04-10,Erlang,447
2012-04-11,Erlang,780
2012-04-12,Erlang,486
2012-04-13,Erlang,429
2012-04-14,Erlang,216
2012-04-15,Erlang,210
2012-04-16,Erlang,396
2012-04-17,Erlang,465
2012-04-18,Erlang,528
2012-04-19,Erlang,582
2012-04-20,Erlang,513
2012-04-21,Erlang,219
2012-04-22,Erlang,309
2012-04-23,Erlang,606
2012-04-24,Erlang,702
2012-04-25,Erlang,582
2012-04-26,Erlang,549
2012-04-27,Erlang,390
2012-04-28,Erlang,423
2012-04-29,Erlang,423
2012-04-30,Erlang,672
2012-05-01,Erlang,546
2012-05-02,Erlang,648
2012-05-03,Erlang,543
2012-05-04,Erlang,567
2012-05-05,Erlang,369
2012-05-06,Erlang,498
2012-05-07,Erlang,639
2012-05-08,Erlang,741
2012-05-09,Erlang,684
2012-05-10,Erlang,534
2012-05-11,Erlang,555
2012-05-12,Erlang,405
2012-05-13,Erlang,657
2012-05-14,Erlang,732
2012-05-15,Erlang,690
2012-05-16,Erlang,636
2012-05-17,Erlang,567
2012-05-18,Erlang,450
2012-05-19,Erlang,321
2012-05-20,Erlang,387
2012-05-21,Erlang,606
2012-05-22,Erlang,720
2012-05-23,Erlang,588
2012-05-24,Erlang,465
2012-05-25,Erlang,531
2012-05-26,Erlang,222
2012-05-27,Erlang,258
2012-05-28,Erlang,417
2012-05-29,Erlang,651
2012-05-30,Erlang,594
2012-05-31,Erlang,471
2012-06-01,Erlang,663
2012-06-02,Erlang,351
2012-06-03,Erlang,306
2012-06-04,Erlang,444
2012-06-05,Erlang,522
2012-06-06,Erlang,717
2012-06-07,Erlang,564
2012-06-08,Erlang,531
2012-06-09,Erlang,291
2012-06-10,Erlang,282
2012-06-11,Erlang,648
2012-06-12,Erlang,627
2012-06-13,Erlang,765
2012-06-14,Erlang,535
2012-06-15,Erlang,298
2012-06-16,Erlang,228
2012-06-17,Erlang,224
2012-06-18,Erlang,384
2012-06-19,Erlang,334
2012-06-20,Erlang,382
2012-06-21,Erlang,408
2012-06-22,Erlang,410
2012-06-23,Erlang,192
2012-06-24,Erlang,220
2012-06-25,Erlang,396
2012-06-26,Erlang,356
2012-06-27,Erlang,378
2012-06-28,Erlang,424
2012-06-29,Erlang,346
2012-06-30,Erlang,178
2012-07-01,Erlang,210
2012-07-02,Erlang,502
2012-07-03,Erlang,378
2012-07-04,Erlang,332
2012-07-05,Erlang,348
2012-07-06,Erlang,408
2012-07-07,Erlang,170
2012-07-08,Erlang,238
2012-07-09,Erlang,616
2012-07-10,Erlang,352
2012-07-11,Erlang,400
2012-07-12,Erlang,338
2012-07-13,Erlang,422
2012-07-14,Erlang,168
2012-07-15,Erlang,140
2012-07-16,Erlang,326
2012-07-17,Erlang,308
2012-07-18,Erlang,364
2012-07-19,Erlang,320
2012-07-20,Erlang,346
2012-07-21,Erlang,168
2012-07-22,Erlang,166
2012-07-23,Erlang,390
2012-07-24,Erlang,386
2012-07-25,Erlang,308
2012-07-26,Erlang,354
2012-07-27,Erlang,330
2012-07-28,Erlang,216
2012-07-29,Erlang,176
2012-07-30,Erlang,358
2012-07-31,Erlang,404
2012-08-01,Erlang,414
2012-08-02,Erlang,442
2012-08-03,Erlang,300
2012-08-04,Erlang,106
2012-08-05,Erlang,134
2012-08-06,Erlang,412
2012-08-07,Erlang,410
2012-08-08,Erlang,296
2012-08-09,Erlang,298
2012-08-10,Erlang,304
2012-08-11,Erlang,206
2012-08-12,Erlang,120
2012-08-13,Erlang,282
2012-08-14,Erlang,272
2012-08-15,Erlang,238
2012-08-16,Erlang,256
2012-08-17,Erlang,302
2012-08-18,Erlang,184
2012-08-19,Erlang,306
2012-08-20,Erlang,536
2012-08-21,Erlang,596
2012-08-22,Erlang,792
2012-08-23,Erlang,604
2012-08-24,Erlang,568
2012-08-25,Erlang,308
2012-08-26,Erlang,272
2012-08-27,Erlang,468
2012-08-28,Erlang,708
2012-08-29,Erlang,408
2012-08-30,Erlang,624
2012-08-31,Erlang,414
2012-09-01,Erlang,120
2012-09-02,Erlang,106
2012-09-03,Erlang,276
2012-09-04,Erlang,378
2012-09-05,Erlang,384
2012-09-06,Erlang,412
2012-09-07,Erlang,300
2012-09-08,Erlang,150
2012-09-09,Erlang,116
2012-09-10,Erlang,292
2012-09-11,Erlang,302
2012-09-12,Erlang,242
2012-09-13,Erlang,209
2012-09-14,Erlang,128
