date,language,count
2012-03-19,erlang,2754
2012-03-26,erlang,3249
2012-04-02,erlang,3414
2012-04-09,erlang,3285
2012-04-16,erlang,3069
2012-04-23,erlang,3012
2012-04-30,erlang,3675
2012-05-07,erlang,3843
2012-05-14,erlang,4215
2012-05-21,erlang,3783
2012-05-28,erlang,3390
2012-06-04,erlang,3453
2012-06-11,erlang,3351
2012-06-18,erlang,3325
2012-06-25,erlang,2330
2012-07-02,erlang,2288
2012-07-09,erlang,2376
2012-07-16,erlang,2436
2012-07-23,erlang,1998
2012-07-30,erlang,2160
2012-08-06,erlang,2158
2012-08-13,erlang,2046
2012-08-20,erlang,1840
2012-08-27,erlang,3676
2012-09-03,erlang,2848
2012-09-10,erlang,2016
2012-09-17,erlang,1309
2012-09-24,erlang,875
2012-10-01,erlang,1398
2012-10-08,erlang,1451
2012-10-15,erlang,1383
2012-10-22,erlang,1501
2012-10-29,erlang,1487
2012-11-05,erlang,1505
2012-11-12,erlang,1451
2012-11-19,erlang,1604
2012-11-26,erlang,1530
2012-12-03,erlang,1656
2012-12-10,erlang,1426
2012-12-17,erlang,1360
2012-12-24,erlang,1228
2012-12-31,erlang,810
2013-01-07,erlang,1015
2013-01-14,erlang,1453
2013-01-21,erlang,1542
2013-01-28,erlang,1565
2013-02-04,erlang,1355
2013-02-11,erlang,1225
2013-02-18,erlang,1161
2013-02-25,erlang,1316
2013-03-04,erlang,1666
2013-03-11,erlang,1651
2013-03-18,erlang,1593
2013-03-25,erlang,1682
2013-04-01,erlang,1808
2013-04-08,erlang,1747
2013-04-15,erlang,1820
2013-04-22,erlang,1544
2013-04-29,erlang,1628
2013-05-06,erlang,1483
2013-05-13,erlang,1437
2013-05-20,erlang,1492
2013-05-27,erlang,1623
2013-06-03,erlang,1447
2013-06-10,erlang,1579
2013-06-17,erlang,1526
2013-06-24,erlang,1682
2013-07-01,erlang,1482
2013-07-08,erlang,1612
2013-07-15,erlang,1581
2013-07-22,erlang,1595
2013-07-29,erlang,1265
2013-08-05,erlang,1477
2013-08-12,erlang,1410
2013-08-19,erlang,1539
2013-08-26,erlang,1463
2013-09-02,erlang,1641
2013-09-09,erlang,999
2013-09-16,erlang,1660
2013-09-23,erlang,1750
2013-09-30,erlang,1606
2013-10-07,erlang,1388
