date,language,count
2012-03-19,haskell,6738
2012-03-26,haskell,6885
2012-04-02,haskell,5475
2012-04-09,haskell,6531
2012-04-16,haskell,7104
2012-04-23,haskell,6639
2012-04-30,haskell,6459
2012-05-07,haskell,6096
2012-05-14,haskell,6753
2012-05-21,haskell,5712
2012-05-28,haskell,5157
2012-06-04,haskell,6288
2012-06-11,haskell,5802
2012-06-18,haskell,4784
2012-06-25,haskell,3796
2012-07-02,haskell,3888
2012-07-09,haskell,3920
2012-07-16,haskell,4262
2012-07-23,haskell,3936
2012-07-30,haskell,4480
2012-08-06,haskell,3816
2012-08-13,haskell,4524
2012-08-20,haskell,4960
2012-08-27,haskell,8228
2012-09-03,haskell,6790
2012-09-10,haskell,4232
2012-09-17,haskell,3544
2012-09-24,haskell,2034
2012-10-01,haskell,2083
2012-10-08,haskell,2362
2012-10-15,haskell,2319
2012-10-22,haskell,2330
2012-10-29,haskell,2356
2012-11-05,haskell,2596
2012-11-12,haskell,2855
2012-11-19,haskell,2834
2012-11-26,haskell,3095
2012-12-03,haskell,2835
2012-12-10,haskell,2856
2012-12-17,haskell,2917
2012-12-24,haskell,2704
2012-12-31,haskell,2338
2013-01-07,haskell,3057
2013-01-14,haskell,2709
2013-01-21,haskell,2180
2013-01-28,haskell,2516
2013-02-04,haskell,2189
2013-02-11,haskell,2361
2013-02-18,haskell,2149
2013-02-25,haskell,3328
2013-03-04,haskell,3510
2013-03-11,haskell,3693
2013-03-18,haskell,3388
2013-03-25,haskell,3388
2013-04-01,haskell,3267
2013-04-08,haskell,2884
2013-04-15,haskell,2967
2013-04-22,haskell,3366
2013-04-29,haskell,3319
2013-05-06,haskell,3218
2013-05-13,haskell,2794
2013-05-20,haskell,3005
2013-05-27,haskell,3251
2013-06-03,haskell,3087
2013-06-10,haskell,3646
2013-06-17,haskell,3069
2013-06-24,haskell,3266
2013-07-01,haskell,2980
2013-07-08,haskell,3124
2013-07-15,haskell,2889
2013-07-22,haskell,3332
2013-07-29,haskell,3407
2013-08-05,haskell,3413
2013-08-12,haskell,3387
2013-08-19,haskell,3195
2013-08-26,haskell,3495
2013-09-02,haskell,3674
2013-09-09,haskell,3227
2013-09-16,haskell,4299
2013-09-23,haskell,3808
2013-09-30,haskell,3598
2013-10-07,haskell,3737
