date,language,count
2012-03-19,java,128082
2012-03-26,java,146796
2012-04-02,java,135603
2012-04-09,java,125802
2012-04-16,java,131637
2012-04-23,java,152676
2012-04-30,java,156177
2012-05-07,java,136425
2012-05-14,java,143928
2012-05-21,java,141027
2012-05-28,java,142665
2012-06-04,java,135318
2012-06-11,java,133215
2012-06-18,java,110357
2012-06-25,java,85798
2012-07-02,java,84250
2012-07-09,java,82448
2012-07-16,java,85316
2012-07-23,java,84380
2012-07-30,java,85904
2012-08-06,java,84990
2012-08-13,java,87540
2012-08-20,java,92294
2012-08-27,java,178188
2012-09-03,java,154170
2012-09-10,java,86424
2012-09-17,java,71985
2012-09-24,java,49607
2012-10-01,java,50451
2012-10-08,java,51484
2012-10-15,java,58850
2012-10-22,java,60032
2012-10-29,java,61717
2012-11-05,java,61680
2012-11-12,java,66909
2012-11-19,java,67903
2012-11-26,java,64778
2012-12-03,java,72772
2012-12-10,java,75237
2012-12-17,java,69965
2012-12-24,java,62301
2012-12-31,java,41697
2013-01-07,java,51278
2013-01-14,java,67313
2013-01-21,java,66206
2013-01-28,java,65760
2013-02-04,java,60776
2013-02-11,java,61912
2013-02-18,java,59781
2013-02-25,java,74344
2013-03-04,java,83151
2013-03-11,java,85719
2013-03-18,java,88449
2013-03-25,java,91497
2013-04-01,java,87861
2013-04-08,java,92005
2013-04-15,java,99080
2013-04-22,java,97343
2013-04-29,java,103636
2013-05-06,java,93196
2013-05-13,java,93470
2013-05-20,java,95324
2013-05-27,java,96185
2013-06-03,java,92912
2013-06-10,java,94941
2013-06-17,java,88285
2013-06-24,java,85548
2013-07-01,java,82821
2013-07-08,java,78197
2013-07-15,java,82207
2013-07-22,java,84785
2013-07-29,java,84450
2013-08-05,java,86758
2013-08-12,java,84320
2013-08-19,java,75846
2013-08-26,java,82358
2013-09-02,java,81835
2013-09-09,java,59945
2013-09-16,java,89611
2013-09-23,java,87020
2013-09-30,java,93960
2013-10-07,java,96428
