days,repository_language,lang_count
2012-03-11,Scala,678
2012-03-12,Scala,1188
2012-03-13,Scala,1299
2012-03-14,Scala,1164
2012-03-15,Scala,1191
2012-03-16,Scala,1332
2012-03-17,Scala,681
2012-03-18,Scala,900
2012-03-19,Scala,1062
2012-03-20,Scala,1281
2012-03-21,Scala,1485
2012-03-22,Scala,1353
2012-03-23,Scala,1299
2012-03-24,Scala,930
2012-03-25,Scala,864
2012-03-26,Scala,1425
2012-03-27,Scala,1257
2012-03-28,Scala,1269
2012-03-29,Scala,1470
2012-03-30,Scala,1284
2012-03-31,Scala,948
2012-04-01,Scala,1086
2012-04-02,Scala,1200
2012-04-03,Scala,1452
2012-04-04,Scala,1452
2012-04-05,Scala,1281
2012-04-06,Scala,1350
2012-04-07,Scala,801
2012-04-08,Scala,774
2012-04-09,Scala,1251
2012-04-10,Scala,1413
2012-04-11,Scala,1383
2012-04-12,Scala,1461
2012-04-13,Scala,1347
2012-04-14,Scala,1080
2012-04-15,Scala,888
2012-04-16,Scala,984
2012-04-17,Scala,1065
2012-04-18,Scala,1098
2012-04-19,Scala,1089
2012-04-20,Scala,1452
2012-04-21,Scala,948
2012-04-22,Scala,1122
2012-04-23,Scala,1653
2012-04-24,Scala,1581
2012-04-25,Scala,1461
2012-04-26,Scala,1296
2012-04-27,Scala,1275
2012-04-28,Scala,741
2012-04-29,Scala,834
2012-04-30,Scala,1212
2012-05-01,Scala,1203
2012-05-02,Scala,1557
2012-05-03,Scala,1596
2012-05-04,Scala,1440
2012-05-05,Scala,1086
2012-05-06,Scala,1086
2012-05-07,Scala,1692
2012-05-08,Scala,1434
2012-05-09,Scala,1341
2012-05-10,Scala,1485
2012-05-11,Scala,1587
2012-05-12,Scala,720
2012-05-13,Scala,990
2012-05-14,Scala,1305
2012-05-15,Scala,1356
2012-05-16,Scala,1503
2012-05-17,Scala,1308
2012-05-18,Scala,1584
2012-05-19,Scala,729
2012-05-20,Scala,921
2012-05-21,Scala,1275
2012-05-22,Scala,1455
2012-05-23,Scala,1437
2012-05-24,Scala,1557
2012-05-25,Scala,1407
2012-05-26,Scala,978
2012-05-27,Scala,900
2012-05-28,Scala,1242
2012-05-29,Scala,1704
2012-05-30,Scala,1383
2012-05-31,Scala,1362
2012-06-01,Scala,1152
2012-06-02,Scala,837
2012-06-03,Scala,1059
2012-06-04,Scala,1356
2012-06-05,Scala,1581
2012-06-06,Scala,1494
2012-06-07,Scala,1248
2012-06-08,Scala,1350
2012-06-09,Scala,993
2012-06-10,Scala,888
2012-06-11,Scala,1329
2012-06-12,Scala,1638
2012-06-13,Scala,1509
2012-06-14,Scala,1125
2012-06-15,Scala,1142
2012-06-16,Scala,670
2012-06-17,Scala,710
2012-06-18,Scala,784
2012-06-19,Scala,1006
2012-06-20,Scala,834
2012-06-21,Scala,766
2012-06-22,Scala,628
2012-06-23,Scala,550
2012-06-24,Scala,692
2012-06-25,Scala,844
2012-06-26,Scala,922
2012-06-27,Scala,934
2012-06-28,Scala,1014
2012-06-29,Scala,1010
2012-06-30,Scala,446
2012-07-01,Scala,598
2012-07-02,Scala,850
2012-07-03,Scala,1028
2012-07-04,Scala,832
2012-07-05,Scala,734
2012-07-06,Scala,776
2012-07-07,Scala,534
2012-07-08,Scala,530
2012-07-09,Scala,960
2012-07-10,Scala,978
2012-07-11,Scala,992
2012-07-12,Scala,846
2012-07-13,Scala,964
2012-07-14,Scala,618
2012-07-15,Scala,718
2012-07-16,Scala,854
2012-07-17,Scala,864
2012-07-18,Scala,904
2012-07-19,Scala,854
2012-07-20,Scala,804
2012-07-21,Scala,540
2012-07-22,Scala,544
2012-07-23,Scala,884
2012-07-24,Scala,928
2012-07-25,Scala,972
2012-07-26,Scala,782
2012-07-27,Scala,848
2012-07-28,Scala,494
2012-07-29,Scala,850
2012-07-30,Scala,864
2012-07-31,Scala,870
2012-08-01,Scala,1098
2012-08-02,Scala,888
2012-08-03,Scala,902
2012-08-04,Scala,1090
2012-08-05,Scala,612
2012-08-06,Scala,960
2012-08-07,Scala,808
2012-08-08,Scala,1068
2012-08-09,Scala,894
2012-08-10,Scala,942
2012-08-11,Scala,824
2012-08-12,Scala,790
2012-08-13,Scala,1108
2012-08-14,Scala,1098
2012-08-15,Scala,970
2012-08-16,Scala,1040
2012-08-17,Scala,956
2012-08-18,Scala,494
2012-08-19,Scala,1072
2012-08-20,Scala,1572
2012-08-21,Scala,1840
2012-08-22,Scala,1964
2012-08-23,Scala,1820
2012-08-24,Scala,1472
2012-08-25,Scala,1192
2012-08-26,Scala,1108
2012-08-27,Scala,1972
2012-08-28,Scala,2300
2012-08-29,Scala,1860
2012-08-30,Scala,1800
2012-08-31,Scala,1700
2012-09-01,Scala,608
2012-09-02,Scala,610
2012-09-03,Scala,816
2012-09-04,Scala,758
2012-09-05,Scala,978
2012-09-06,Scala,1064
2012-09-07,Scala,760
2012-09-08,Scala,532
2012-09-09,Scala,574
2012-09-10,Scala,862
2012-09-11,Scala,972
2012-09-12,Scala,948
2012-09-13,Scala,584
2012-09-14,Scala,477
2012-09-15,Scala,255
2012-09-16,Scala,343
2012-09-17,Scala,545
2012-09-18,Scala,586
2012-09-19,Scala,618
2012-09-20,Scala,553
2012-09-21,Scala,460
2012-09-22,Scala,391
2012-09-23,Scala,398
2012-09-24,Scala,545
2012-09-25,Scala,592
2012-09-26,Scala,543
2012-09-27,Scala,528
2012-09-28,Scala,469
2012-09-29,Scala,291
2012-09-30,Scala,295
2012-10-01,Scala,516
2012-10-02,Scala,550
2012-10-03,Scala,585
2012-10-04,Scala,480
2012-10-05,Scala,399
2012-10-06,Scala,292
2012-10-07,Scala,398
2012-10-08,Scala,565
2012-10-09,Scala,551
2012-10-10,Scala,548
2012-10-11,Scala,528
2012-10-12,Scala,458
2012-10-13,Scala,337
2012-10-14,Scala,360
2012-10-15,Scala,539
2012-10-16,Scala,571
2012-10-17,Scala,546
2012-10-18,Scala,430
2012-10-19,Scala,430
2012-10-20,Scala,277
2012-10-21,Scala,353
2012-10-22,Scala,506
2012-10-23,Scala,500
2012-10-24,Scala,545
2012-10-25,Scala,561
2012-10-26,Scala,552
2012-10-27,Scala,257
2012-10-28,Scala,348
2012-10-29,Scala,527
2012-10-30,Scala,585
2012-10-31,Scala,520
2012-11-01,Scala,432
2012-11-02,Scala,474
2012-11-03,Scala,400
2012-11-04,Scala,348
2012-11-05,Scala,573
2012-11-06,Scala,675
2012-11-07,Scala,574
2012-11-08,Scala,551
2012-11-09,Scala,487
2012-11-10,Scala,309
2012-11-11,Scala,402
2012-11-12,Scala,555
2012-11-13,Scala,587
2012-11-14,Scala,617
2012-11-15,Scala,580
2012-11-16,Scala,522
2012-11-17,Scala,374
2012-11-18,Scala,393
2012-11-19,Scala,522
2012-11-20,Scala,556
2012-11-21,Scala,609
2012-11-22,Scala,512
2012-11-23,Scala,521
2012-11-24,Scala,452
2012-11-25,Scala,469
2012-11-26,Scala,597
2012-11-27,Scala,655
2012-11-28,Scala,593
2012-11-29,Scala,610
2012-11-30,Scala,600
2012-12-01,Scala,372
2012-12-02,Scala,483
2012-12-03,Scala,610
2012-12-04,Scala,595
2012-12-05,Scala,667
2012-12-06,Scala,622
2012-12-07,Scala,544
2012-12-08,Scala,415
2012-12-09,Scala,386
2012-12-10,Scala,578
2012-12-11,Scala,570
2012-12-12,Scala,557
2012-12-13,Scala,623
2012-12-14,Scala,696
2012-12-15,Scala,407
2012-12-16,Scala,396
2012-12-17,Scala,704
2012-12-18,Scala,721
2012-12-19,Scala,633
2012-12-20,Scala,620
2012-12-21,Scala,573
2012-12-22,Scala,454
2012-12-23,Scala,355
2012-12-24,Scala,353
2012-12-25,Scala,387
2012-12-26,Scala,402
2012-12-27,Scala,487
2012-12-28,Scala,551
2012-12-29,Scala,421
2012-12-30,Scala,442
2012-12-31,Scala,382
2013-01-01,Scala,338
2013-01-02,Scala,444
2013-01-03,Scala,534
2013-01-04,Scala,708
2013-01-05,Scala,531
2013-01-06,Scala,496
2013-01-07,Scala,685
2013-01-08,Scala,698
2013-01-09,Scala,644
2013-01-10,Scala,764
2013-01-11,Scala,732
2013-01-12,Scala,546
2013-01-13,Scala,534
2013-01-14,Scala,806
2013-01-15,Scala,763
2013-01-16,Scala,587
2013-01-17,Scala,555
2013-01-18,Scala,589
2013-01-19,Scala,338
2013-01-20,Scala,434
2013-01-21,Scala,638
2013-01-22,Scala,634
2013-01-23,Scala,632
2013-01-24,Scala,592
2013-01-25,Scala,631
2013-01-26,Scala,385
2013-01-27,Scala,383
2013-01-28,Scala,568
2013-01-29,Scala,640
2013-01-30,Scala,596
2013-01-31,Scala,408
2013-02-01,Scala,528
2013-02-02,Scala,319
2013-02-03,Scala,485
2013-02-04,Scala,600
2013-02-05,Scala,634
2013-02-06,Scala,628
2013-02-07,Scala,695
2013-02-08,Scala,566
2013-02-09,Scala,399
2013-02-10,Scala,506
2013-02-11,Scala,636
2013-02-12,Scala,627
2013-02-13,Scala,580
2013-02-14,Scala,560
2013-02-15,Scala,541
2013-02-16,Scala,337
2013-02-17,Scala,445
2013-02-18,Scala,531
2013-02-19,Scala,632
2013-02-20,Scala,667
2013-02-21,Scala,688
2013-02-22,Scala,696
2013-02-23,Scala,534
2013-02-24,Scala,633
2013-02-25,Scala,651
2013-02-26,Scala,822
2013-02-27,Scala,824
2013-02-28,Scala,719
2013-03-01,Scala,770
2013-03-02,Scala,482
2013-03-03,Scala,468
2013-03-04,Scala,785
2013-03-05,Scala,691
2013-03-06,Scala,695
2013-03-07,Scala,680
2013-03-08,Scala,665
2013-03-09,Scala,481
2013-03-10,Scala,476
2013-03-11,Scala,581
2013-03-12,Scala,693
2013-03-13,Scala,727
2013-03-14,Scala,582
2013-03-15,Scala,598
2013-03-16,Scala,481
2013-03-17,Scala,463
2013-03-18,Scala,575
2013-03-19,Scala,629
2013-03-20,Scala,729
2013-03-21,Scala,725
2013-03-22,Scala,610
2013-03-23,Scala,398
2013-03-24,Scala,503
2013-03-25,Scala,710
2013-03-26,Scala,652
2013-03-27,Scala,709
2013-03-28,Scala,724
2013-03-29,Scala,640
2013-03-30,Scala,445
2013-03-31,Scala,482
2013-04-01,Scala,565
2013-04-02,Scala,735
2013-04-03,Scala,887
2013-04-04,Scala,819
2013-04-05,Scala,808
2013-04-06,Scala,488
2013-04-07,Scala,598
2013-04-08,Scala,824
2013-04-09,Scala,823
2013-04-10,Scala,865
2013-04-11,Scala,806
2013-04-12,Scala,741
2013-04-13,Scala,481
2013-04-14,Scala,521
2013-04-15,Scala,721
2013-04-16,Scala,704
2013-04-17,Scala,637
2013-04-18,Scala,670
2013-04-19,Scala,714
2013-04-20,Scala,406
2013-04-21,Scala,534
2013-04-22,Scala,724
2013-04-23,Scala,878
2013-04-24,Scala,885
2013-04-25,Scala,843
2013-04-26,Scala,686
2013-04-27,Scala,474
2013-04-28,Scala,560
2013-04-29,Scala,739
2013-04-30,Scala,797
2013-05-01,Scala,628
2013-05-02,Scala,662
2013-05-03,Scala,713
2013-05-04,Scala,517
2013-05-05,Scala,533
2013-05-06,Scala,779
2013-05-07,Scala,820
2013-05-08,Scala,803
2013-05-09,Scala,650
2013-05-10,Scala,744
2013-05-11,Scala,530
2013-05-12,Scala,565
2013-05-13,Scala,847
2013-05-14,Scala,839
2013-05-15,Scala,827
2013-05-16,Scala,717
2013-05-17,Scala,798
2013-05-18,Scala,504
2013-05-19,Scala,651
2013-05-20,Scala,784
2013-05-21,Scala,760
2013-05-22,Scala,811
2013-05-23,Scala,863
2013-05-24,Scala,769
2013-05-25,Scala,420
2013-05-26,Scala,447
2013-05-27,Scala,684
2013-05-28,Scala,750
2013-05-29,Scala,788
2013-05-30,Scala,700
2013-05-31,Scala,739
2013-06-01,Scala,434
2013-06-02,Scala,669
2013-06-03,Scala,843
2013-06-04,Scala,760
2013-06-05,Scala,787
2013-06-06,Scala,795
2013-06-07,Scala,788
2013-06-08,Scala,527
2013-06-09,Scala,577
2013-06-10,Scala,788
2013-06-11,Scala,691
2013-06-12,Scala,647
2013-06-13,Scala,732
2013-06-14,Scala,702
2013-06-15,Scala,475
2013-06-16,Scala,465
2013-06-17,Scala,588
2013-06-18,Scala,697
2013-06-19,Scala,768
2013-06-20,Scala,813
2013-06-21,Scala,632
2013-06-22,Scala,443
2013-06-23,Scala,458
2013-06-24,Scala,646
2013-06-25,Scala,887
2013-06-26,Scala,735
2013-06-27,Scala,823
2013-06-28,Scala,688
2013-06-29,Scala,465
2013-06-30,Scala,526
2013-07-01,Scala,708
2013-07-02,Scala,739
2013-07-03,Scala,747
2013-07-04,Scala,614
2013-07-05,Scala,695
2013-07-06,Scala,435
2013-07-07,Scala,552
2013-07-08,Scala,819
2013-07-09,Scala,850
2013-07-10,Scala,803
2013-07-11,Scala,782
2013-07-12,Scala,801
2013-07-13,Scala,501
2013-07-14,Scala,478
2013-07-15,Scala,776
2013-07-16,Scala,921
2013-07-17,Scala,899
2013-07-18,Scala,804
2013-07-19,Scala,765
2013-07-20,Scala,450
2013-07-21,Scala,519
2013-07-22,Scala,690
2013-07-23,Scala,813
2013-07-24,Scala,763
2013-07-25,Scala,790
2013-07-26,Scala,869
2013-07-27,Scala,484
2013-07-28,Scala,485
2013-07-29,Scala,844
2013-07-30,Scala,920
2013-07-31,Scala,972
2013-08-01,Scala,861
2013-08-02,Scala,741
2013-08-03,Scala,566
2013-08-04,Scala,463
2013-08-05,Scala,681
2013-08-06,Scala,948
2013-08-07,Scala,802
2013-08-08,Scala,863
2013-08-09,Scala,752
2013-08-10,Scala,491
2013-08-11,Scala,561
2013-08-12,Scala,783
2013-08-13,Scala,826
2013-08-14,Scala,769
2013-08-15,Scala,676
2013-08-16,Scala,758
2013-08-17,Scala,542
2013-08-18,Scala,635
2013-08-19,Scala,947
2013-08-20,Scala,1000
2013-08-21,Scala,936
2013-08-22,Scala,863
2013-08-23,Scala,796
2013-08-24,Scala,624
2013-08-25,Scala,571
2013-08-26,Scala,916
2013-08-27,Scala,962
2013-08-28,Scala,888
2013-08-29,Scala,803
2013-08-30,Scala,798
2013-08-31,Scala,643
2013-09-01,Scala,659
2013-09-02,Scala,804
2013-09-03,Scala,964
2013-09-04,Scala,364
2013-09-06,Scala,738
2013-09-07,Scala,643
2013-09-08,Scala,695
2013-09-09,Scala,923
2013-09-10,Scala,907
2013-09-11,Scala,1019
