date,language,count
2012-03-19,scala,7755
2012-03-26,scala,8274
2012-04-02,scala,8739
2012-04-09,scala,8310
2012-04-16,scala,8823
2012-04-23,scala,7758
2012-04-30,scala,8841
2012-05-07,scala,9180
2012-05-14,scala,9249
2012-05-21,scala,8706
2012-05-28,scala,9009
2012-06-04,scala,8739
2012-06-11,scala,8910
2012-06-18,scala,8123
2012-06-25,scala,5260
2012-07-02,scala,5768
2012-07-09,scala,5284
2012-07-16,scala,6076
2012-07-23,scala,5364
2012-07-30,scala,5758
2012-08-06,scala,6324
2012-08-13,scala,6286
2012-08-20,scala,6738
2012-08-27,scala,10968
2012-09-03,scala,10850
2012-09-10,scala,5482
2012-09-17,scala,4441
2012-09-24,scala,3551
2012-10-01,scala,3263
2012-10-08,scala,3220
2012-10-15,scala,3347
2012-10-22,scala,3146
2012-10-29,scala,3269
2012-11-05,scala,3286
2012-11-12,scala,3571
2012-11-19,scala,3628
2012-11-26,scala,3641
2012-12-03,scala,3910
2012-12-10,scala,3839
2012-12-17,scala,3827
2012-12-24,scala,4060
2012-12-31,scala,3043
2013-01-07,scala,3433
2013-01-14,scala,4603
2013-01-21,scala,4072
2013-01-28,scala,3895
2013-02-04,scala,3544
2013-02-11,scala,4028
2013-02-18,scala,3726
2013-02-25,scala,4381
2013-03-04,scala,4736
2013-03-11,scala,4473
2013-03-18,scala,4125
2013-03-25,scala,4169
2013-04-01,scala,4362
2013-04-08,scala,4900
2013-04-15,scala,5061
2013-04-22,scala,4386
2013-04-29,scala,5050
2013-05-06,scala,4589
2013-05-13,scala,4891
2013-05-20,scala,5183
2013-05-27,scala,4854
2013-06-03,scala,4764
2013-06-10,scala,5077
2013-06-17,scala,4500
2013-06-24,scala,4399
2013-07-01,scala,4770
2013-07-08,scala,4490
2013-07-15,scala,5034
2013-07-22,scala,5134
2013-07-29,scala,4894
2013-08-05,scala,5367
2013-08-12,scala,5098
2013-08-19,scala,4989
2013-08-26,scala,5737
2013-09-02,scala,5669
2013-09-09,scala,4208
2013-09-16,scala,5585
2013-09-23,scala,4725
2013-09-30,scala,5318
2013-10-07,scala,5738
