days,repository_language,lang_count
2012-03-11,VimL,1383
2012-03-12,VimL,2430
2012-03-13,VimL,2730
2012-03-14,VimL,2262
2012-03-15,VimL,2640
2012-03-16,VimL,2325
2012-03-17,VimL,1800
2012-03-18,VimL,2103
2012-03-19,VimL,2631
2012-03-20,VimL,2781
2012-03-21,VimL,3624
2012-03-22,VimL,2655
2012-03-23,VimL,2379
2012-03-24,VimL,2040
2012-03-25,VimL,1827
2012-03-26,VimL,2655
2012-03-27,VimL,2718
2012-03-28,VimL,2553
2012-03-29,VimL,2457
2012-03-30,VimL,2496
2012-03-31,VimL,2331
2012-04-01,VimL,2025
2012-04-02,VimL,2412
2012-04-03,VimL,2490
2012-04-04,VimL,2754
2012-04-05,VimL,2442
2012-04-06,VimL,2685
2012-04-07,VimL,1722
2012-04-08,VimL,1803
2012-04-09,VimL,2532
2012-04-10,VimL,2943
2012-04-11,VimL,2823
2012-04-12,VimL,2709
2012-04-13,VimL,2610
2012-04-14,VimL,1815
2012-04-15,VimL,2064
2012-04-16,VimL,2556
2012-04-17,VimL,2763
2012-04-18,VimL,2580
2012-04-19,VimL,2865
2012-04-20,VimL,2463
2012-04-21,VimL,1935
2012-04-22,VimL,2136
2012-04-23,VimL,2709
2012-04-24,VimL,2805
2012-04-25,VimL,2415
2012-04-26,VimL,2604
2012-04-27,VimL,2556
2012-04-28,VimL,1989
2012-04-29,VimL,1926
2012-04-30,VimL,2541
2012-05-01,VimL,2670
2012-05-02,VimL,2583
2012-05-03,VimL,2664
2012-05-04,VimL,2676
2012-05-05,VimL,1860
2012-05-06,VimL,2013
2012-05-07,VimL,2688
2012-05-08,VimL,2376
2012-05-09,VimL,2754
2012-05-10,VimL,2772
2012-05-11,VimL,2331
2012-05-12,VimL,1557
2012-05-13,VimL,1884
2012-05-14,VimL,2601
2012-05-15,VimL,2280
2012-05-16,VimL,2472
2012-05-17,VimL,2256
2012-05-18,VimL,2232
2012-05-19,VimL,1602
2012-05-20,VimL,1734
2012-05-21,VimL,2172
2012-05-22,VimL,2577
2012-05-23,VimL,2472
2012-05-24,VimL,2565
2012-05-25,VimL,2130
2012-05-26,VimL,1290
2012-05-27,VimL,1404
2012-05-28,VimL,1959
2012-05-29,VimL,2469
2012-05-30,VimL,2757
2012-05-31,VimL,2097
2012-06-01,VimL,2283
2012-06-02,VimL,1764
2012-06-03,VimL,1719
2012-06-04,VimL,2460
2012-06-05,VimL,2208
2012-06-06,VimL,2358
2012-06-07,VimL,2304
2012-06-08,VimL,1863
2012-06-09,VimL,1824
2012-06-10,VimL,2148
2012-06-11,VimL,2478
2012-06-12,VimL,2445
2012-06-13,VimL,2442
2012-06-14,VimL,1773
2012-06-15,VimL,1372
2012-06-16,VimL,1152
2012-06-17,VimL,1130
2012-06-18,VimL,1762
2012-06-19,VimL,1974
2012-06-20,VimL,1744
2012-06-21,VimL,1702
2012-06-22,VimL,1718
2012-06-23,VimL,1096
2012-06-24,VimL,1164
2012-06-25,VimL,1680
2012-06-26,VimL,1758
2012-06-27,VimL,1762
2012-06-28,VimL,1718
2012-06-29,VimL,1926
2012-06-30,VimL,1282
2012-07-01,VimL,1460
2012-07-02,VimL,1868
2012-07-03,VimL,1988
2012-07-04,VimL,1732
2012-07-05,VimL,1800
2012-07-06,VimL,1794
2012-07-07,VimL,1284
2012-07-08,VimL,1424
2012-07-09,VimL,2008
2012-07-10,VimL,2334
2012-07-11,VimL,2014
2012-07-12,VimL,2062
2012-07-13,VimL,1992
2012-07-14,VimL,1372
2012-07-15,VimL,1602
2012-07-16,VimL,1968
2012-07-17,VimL,1902
2012-07-18,VimL,1890
2012-07-19,VimL,2058
2012-07-20,VimL,1704
2012-07-21,VimL,1298
2012-07-22,VimL,1304
2012-07-23,VimL,1836
2012-07-24,VimL,1814
2012-07-25,VimL,1878
2012-07-26,VimL,1828
2012-07-27,VimL,1736
2012-07-28,VimL,1206
2012-07-29,VimL,1448
2012-07-30,VimL,2102
2012-07-31,VimL,1822
2012-08-01,VimL,2158
2012-08-02,VimL,2042
2012-08-03,VimL,1864
2012-08-04,VimL,1354
2012-08-05,VimL,1360
2012-08-06,VimL,1730
2012-08-07,VimL,1856
2012-08-08,VimL,1850
2012-08-09,VimL,1670
2012-08-10,VimL,1660
2012-08-11,VimL,1624
2012-08-12,VimL,1634
2012-08-13,VimL,1846
2012-08-14,VimL,2112
2012-08-15,VimL,1760
2012-08-16,VimL,1698
2012-08-17,VimL,1796
2012-08-18,VimL,1206
2012-08-19,VimL,2786
2012-08-20,VimL,3752
2012-08-21,VimL,4276
2012-08-22,VimL,3984
2012-08-23,VimL,4380
2012-08-24,VimL,3832
2012-08-25,VimL,2684
2012-08-26,VimL,2672
2012-08-27,VimL,3540
2012-08-28,VimL,3660
2012-08-29,VimL,3336
2012-08-30,VimL,3200
2012-08-31,VimL,2972
2012-09-01,VimL,1142
2012-09-02,VimL,1414
2012-09-03,VimL,1724
2012-09-04,VimL,2210
2012-09-05,VimL,2320
2012-09-06,VimL,1904
2012-09-07,VimL,1740
2012-09-08,VimL,1276
2012-09-09,VimL,1500
2012-09-10,VimL,1872
2012-09-11,VimL,2066
2012-09-12,VimL,2106
2012-09-13,VimL,1291
2012-09-14,VimL,820
2012-09-15,VimL,685
2012-09-16,VimL,678
2012-09-17,VimL,1021
2012-09-18,VimL,1039
2012-09-19,VimL,964
2012-09-20,VimL,885
2012-09-21,VimL,907
2012-09-22,VimL,529
2012-09-23,VimL,751
2012-09-24,VimL,893
2012-09-25,VimL,901
2012-09-26,VimL,877
2012-09-27,VimL,900
2012-09-28,VimL,885
2012-09-29,VimL,634
2012-09-30,VimL,624
2012-10-01,VimL,985
2012-10-02,VimL,920
2012-10-03,VimL,914
2012-10-04,VimL,858
2012-10-05,VimL,780
2012-10-06,VimL,615
2012-10-07,VimL,661
2012-10-08,VimL,961
2012-10-09,VimL,981
2012-10-10,VimL,1007
2012-10-11,VimL,1031
2012-10-12,VimL,976
2012-10-13,VimL,676
2012-10-14,VimL,789
2012-10-15,VimL,1110
2012-10-16,VimL,941
2012-10-17,VimL,1030
2012-10-18,VimL,1027
2012-10-19,VimL,1024
2012-10-20,VimL,719
2012-10-21,VimL,844
2012-10-22,VimL,1138
2012-10-23,VimL,1007
2012-10-24,VimL,1032
2012-10-25,VimL,981
2012-10-26,VimL,881
2012-10-27,VimL,738
2012-10-28,VimL,771
2012-10-29,VimL,1095
2012-10-30,VimL,1111
2012-10-31,VimL,1094
2012-11-01,VimL,1006
2012-11-02,VimL,876
2012-11-03,VimL,754
2012-11-04,VimL,702
2012-11-05,VimL,1045
2012-11-06,VimL,1060
2012-11-07,VimL,1047
2012-11-08,VimL,1126
2012-11-09,VimL,1062
2012-11-10,VimL,681
2012-11-11,VimL,769
2012-11-12,VimL,1062
2012-11-13,VimL,1060
2012-11-14,VimL,1108
2012-11-15,VimL,1013
2012-11-16,VimL,971
2012-11-17,VimL,834
2012-11-18,VimL,709
2012-11-19,VimL,1060
2012-11-20,VimL,1035
2012-11-21,VimL,1091
2012-11-22,VimL,793
2012-11-23,VimL,822
2012-11-24,VimL,801
2012-11-25,VimL,800
2012-11-26,VimL,1187
2012-11-27,VimL,1171
2012-11-28,VimL,1262
2012-11-29,VimL,1034
2012-11-30,VimL,992
2012-12-01,VimL,772
2012-12-02,VimL,861
2012-12-03,VimL,1111
2012-12-04,VimL,1071
2012-12-05,VimL,1033
2012-12-06,VimL,979
2012-12-07,VimL,925
2012-12-08,VimL,635
2012-12-09,VimL,703
2012-12-10,VimL,978
2012-12-11,VimL,1019
2012-12-12,VimL,1020
2012-12-13,VimL,1048
2012-12-14,VimL,956
2012-12-15,VimL,640
2012-12-16,VimL,751
2012-12-17,VimL,970
2012-12-18,VimL,1004
2012-12-19,VimL,989
2012-12-20,VimL,954
2012-12-21,VimL,760
2012-12-22,VimL,586
2012-12-23,VimL,485
2012-12-24,VimL,712
2012-12-25,VimL,581
2012-12-26,VimL,600
2012-12-27,VimL,798
2012-12-28,VimL,697
2012-12-29,VimL,617
2012-12-30,VimL,612
2012-12-31,VimL,602
2013-01-01,VimL,538
2013-01-02,VimL,833
2013-01-03,VimL,920
2013-01-04,VimL,903
2013-01-05,VimL,733
2013-01-06,VimL,816
2013-01-07,VimL,1026
2013-01-08,VimL,1138
2013-01-09,VimL,1068
2013-01-10,VimL,1053
2013-01-11,VimL,967
2013-01-12,VimL,708
2013-01-13,VimL,728
2013-01-14,VimL,1088
2013-01-15,VimL,1104
2013-01-16,VimL,880
2013-01-17,VimL,920
2013-01-18,VimL,912
2013-01-19,VimL,704
2013-01-20,VimL,736
2013-01-21,VimL,912
2013-01-22,VimL,951
2013-01-23,VimL,970
2013-01-24,VimL,962
2013-01-25,VimL,1012
2013-01-26,VimL,662
2013-01-27,VimL,824
2013-01-28,VimL,1072
2013-01-29,VimL,1031
2013-01-30,VimL,1002
2013-01-31,VimL,891
2013-02-01,VimL,908
2013-02-02,VimL,686
2013-02-03,VimL,765
2013-02-04,VimL,1010
2013-02-05,VimL,1164
2013-02-06,VimL,1233
2013-02-07,VimL,978
2013-02-08,VimL,850
2013-02-09,VimL,737
2013-02-10,VimL,674
2013-02-11,VimL,952
2013-02-12,VimL,1035
2013-02-13,VimL,969
2013-02-14,VimL,893
2013-02-15,VimL,759
2013-02-16,VimL,659
2013-02-17,VimL,682
2013-02-18,VimL,930
2013-02-19,VimL,1164
2013-02-20,VimL,1342
2013-02-21,VimL,1446
2013-02-22,VimL,1413
2013-02-23,VimL,988
2013-02-24,VimL,965
2013-02-25,VimL,1116
2013-02-26,VimL,1223
2013-02-27,VimL,1227
2013-02-28,VimL,1244
2013-03-01,VimL,1092
2013-03-02,VimL,897
2013-03-03,VimL,808
2013-03-04,VimL,1259
2013-03-05,VimL,1547
2013-03-06,VimL,1634
2013-03-07,VimL,1367
2013-03-08,VimL,1262
2013-03-09,VimL,1045
2013-03-10,VimL,1017
2013-03-11,VimL,1181
2013-03-12,VimL,1249
2013-03-13,VimL,1326
2013-03-14,VimL,1041
2013-03-15,VimL,1149
2013-03-16,VimL,809
2013-03-17,VimL,922
2013-03-18,VimL,1143
2013-03-19,VimL,1293
2013-03-20,VimL,1236
2013-03-21,VimL,1293
2013-03-22,VimL,1109
2013-03-23,VimL,857
2013-03-24,VimL,900
2013-03-25,VimL,1263
2013-03-26,VimL,1241
2013-03-27,VimL,1268
2013-03-28,VimL,1162
2013-03-29,VimL,1066
2013-03-30,VimL,879
2013-03-31,VimL,874
2013-04-01,VimL,1188
2013-04-02,VimL,1406
2013-04-03,VimL,1257
2013-04-04,VimL,1254
2013-04-05,VimL,1105
2013-04-06,VimL,850
2013-04-07,VimL,1080
2013-04-08,VimL,1368
2013-04-09,VimL,1424
2013-04-10,VimL,1294
2013-04-11,VimL,1292
2013-04-12,VimL,1158
2013-04-13,VimL,916
2013-04-14,VimL,1093
2013-04-15,VimL,1242
2013-04-16,VimL,1109
2013-04-17,VimL,1164
2013-04-18,VimL,1365
2013-04-19,VimL,1269
2013-04-20,VimL,875
2013-04-21,VimL,893
2013-04-22,VimL,1281
2013-04-23,VimL,1209
2013-04-24,VimL,1324
2013-04-25,VimL,1326
2013-04-26,VimL,1135
2013-04-27,VimL,885
2013-04-28,VimL,945
2013-04-29,VimL,1178
2013-04-30,VimL,1138
2013-05-01,VimL,1096
2013-05-02,VimL,1099
2013-05-03,VimL,1036
2013-05-04,VimL,717
2013-05-05,VimL,871
2013-05-06,VimL,1056
2013-05-07,VimL,1001
2013-05-08,VimL,1165
2013-05-09,VimL,1206
2013-05-10,VimL,1043
2013-05-11,VimL,841
2013-05-12,VimL,782
2013-05-13,VimL,1347
2013-05-14,VimL,1196
2013-05-15,VimL,1179
2013-05-16,VimL,1122
2013-05-17,VimL,1079
2013-05-18,VimL,768
2013-05-19,VimL,809
2013-05-20,VimL,1282
2013-05-21,VimL,1311
2013-05-22,VimL,1249
2013-05-23,VimL,1257
2013-05-24,VimL,1095
2013-05-25,VimL,801
2013-05-26,VimL,891
2013-05-27,VimL,1005
2013-05-28,VimL,1242
2013-05-29,VimL,1226
2013-05-30,VimL,1255
2013-05-31,VimL,1088
2013-06-01,VimL,685
2013-06-02,VimL,809
2013-06-03,VimL,1163
2013-06-04,VimL,1239
2013-06-05,VimL,1224
2013-06-06,VimL,1271
2013-06-07,VimL,1217
2013-06-08,VimL,879
2013-06-09,VimL,864
2013-06-10,VimL,1077
2013-06-11,VimL,1153
2013-06-12,VimL,999
2013-06-13,VimL,1144
2013-06-14,VimL,1074
2013-06-15,VimL,804
2013-06-16,VimL,884
2013-06-17,VimL,1231
2013-06-18,VimL,1238
2013-06-19,VimL,1196
2013-06-20,VimL,1243
2013-06-21,VimL,1161
2013-06-22,VimL,827
2013-06-23,VimL,820
2013-06-24,VimL,1256
2013-06-25,VimL,1221
2013-06-26,VimL,1297
2013-06-27,VimL,1182
2013-06-28,VimL,1137
