date,language,count
2012-03-19,viml,16290
2012-03-26,viml,17937
2012-04-02,viml,17235
2012-04-09,viml,16308
2012-04-16,viml,17496
2012-04-23,viml,17298
2012-04-30,viml,17004
2012-05-07,viml,17007
2012-05-14,viml,16362
2012-05-21,viml,15177
2012-05-28,viml,14610
2012-06-04,viml,15048
2012-06-11,viml,15165
2012-06-18,viml,12792
2012-06-25,viml,11160
2012-07-02,viml,11586
2012-07-09,viml,11890
2012-07-16,viml,13384
2012-07-23,viml,12124
2012-07-30,viml,11746
2012-08-06,viml,12702
2012-08-13,viml,12024
2012-08-20,viml,13204
2012-08-27,viml,25580
2012-09-03,viml,19264
2012-09-10,viml,12674
2012-09-17,viml,9518
2012-09-24,viml,6096
2012-10-01,viml,5714
2012-10-08,viml,5733
2012-10-15,viml,6421
2012-10-22,viml,6695
2012-10-29,viml,6548
2012-11-05,viml,6638
2012-11-12,viml,6790
2012-11-19,viml,6757
2012-11-26,viml,6402
2012-12-03,viml,7279
2012-12-10,viml,6457
2012-12-17,viml,6412
2012-12-24,viml,5748
2012-12-31,viml,4617
2013-01-07,viml,5345
2013-01-14,viml,6688
2013-01-21,viml,6344
2013-01-28,viml,6293
2013-02-04,viml,6355
2013-02-11,viml,6646
2013-02-18,viml,5949
2013-02-25,viml,8248
2013-03-04,viml,7607
2013-03-11,viml,9131
2013-03-18,viml,7677
2013-03-25,viml,7831
2013-04-01,viml,7753
2013-04-08,viml,8140
2013-04-15,viml,8545
2013-04-22,viml,7917
2013-04-29,viml,8105
2013-05-06,viml,7135
2013-05-13,viml,7094
2013-05-20,viml,7500
2013-05-27,viml,7886
2013-06-03,viml,7310
2013-06-10,viml,7857
2013-06-17,viml,7135
2013-06-24,viml,7716
2013-07-01,viml,7873
2013-07-08,viml,7804
2013-07-15,viml,8729
2013-07-22,viml,8149
2013-07-29,viml,7860
2013-08-05,viml,7599
2013-08-12,viml,7712
2013-08-19,viml,8161
2013-08-26,viml,8736
2013-09-02,viml,8663
2013-09-09,viml,6467
2013-09-16,viml,8448
2013-09-23,viml,7468
2013-09-30,viml,7891
2013-10-07,viml,7497
