days,repository_language,lang_count
2012-03-11,Clojure,669
2012-03-12,Clojure,705
2012-03-13,Clojure,846
2012-03-14,Clojure,591
2012-03-15,Clojure,561
2012-03-16,Clojure,639
2012-03-17,Clojure,432
2012-03-18,Clojure,492
2012-03-19,Clojure,549
2012-03-20,Clojure,723
2012-03-21,Clojure,870
2012-03-22,Clojure,747
2012-03-23,Clojure,579
2012-03-24,Clojure,465
2012-03-25,Clojure,645
2012-03-26,Clojure,726
2012-03-27,Clojure,615
2012-03-28,Clojure,600
2012-03-29,Clojure,615
2012-03-30,Clojure,687
2012-03-31,Clojure,516
2012-04-01,Clojure,456
2012-04-02,Clojure,816
2012-04-03,Clojure,714
2012-04-04,Clojure,780
2012-04-05,Clojure,774
2012-04-06,Clojure,717
2012-04-07,Clojure,633
2012-04-08,Clojure,420
2012-04-09,Clojure,756
2012-04-10,Clojure,738
2012-04-11,Clojure,654
2012-04-12,Clojure,639
2012-04-13,Clojure,684
2012-04-14,Clojure,408
2012-04-15,Clojure,933
2012-04-16,Clojure,882
2012-04-17,Clojure,765
2012-04-18,Clojure,723
2012-04-19,Clojure,618
2012-04-20,Clojure,771
2012-04-21,Clojure,672
2012-04-22,Clojure,585
2012-04-23,Clojure,804
2012-04-24,Clojure,864
2012-04-25,Clojure,669
2012-04-26,Clojure,624
2012-04-27,Clojure,828
2012-04-28,Clojure,894
2012-04-29,Clojure,951
2012-04-30,Clojure,705
2012-05-01,Clojure,702
2012-05-02,Clojure,714
2012-05-03,Clojure,717
2012-05-04,Clojure,699
2012-05-05,Clojure,783
2012-05-06,Clojure,759
2012-05-07,Clojure,750
2012-05-08,Clojure,594
2012-05-09,Clojure,720
2012-05-10,Clojure,768
2012-05-11,Clojure,789
2012-05-12,Clojure,681
2012-05-13,Clojure,681
2012-05-14,Clojure,714
2012-05-15,Clojure,642
2012-05-16,Clojure,513
2012-05-17,Clojure,630
2012-05-18,Clojure,657
2012-05-19,Clojure,564
2012-05-20,Clojure,573
2012-05-21,Clojure,600
2012-05-22,Clojure,888
2012-05-23,Clojure,711
2012-05-24,Clojure,603
2012-05-25,Clojure,615
2012-05-26,Clojure,504
2012-05-27,Clojure,420
2012-05-28,Clojure,498
2012-05-29,Clojure,648
2012-05-30,Clojure,855
2012-05-31,Clojure,807
2012-06-01,Clojure,606
2012-06-02,Clojure,510
2012-06-03,Clojure,714
2012-06-04,Clojure,663
2012-06-05,Clojure,537
2012-06-06,Clojure,828
2012-06-07,Clojure,693
2012-06-08,Clojure,759
2012-06-09,Clojure,441
2012-06-10,Clojure,744
2012-06-11,Clojure,738
2012-06-12,Clojure,663
2012-06-13,Clojure,696
2012-06-14,Clojure,516
2012-06-15,Clojure,492
2012-06-16,Clojure,344
2012-06-17,Clojure,394
2012-06-18,Clojure,392
2012-06-19,Clojure,456
2012-06-20,Clojure,454
2012-06-21,Clojure,406
2012-06-22,Clojure,392
2012-06-23,Clojure,342
2012-06-24,Clojure,306
2012-06-25,Clojure,458
2012-06-26,Clojure,492
2012-06-27,Clojure,554
2012-06-28,Clojure,414
2012-06-29,Clojure,464
2012-06-30,Clojure,372
2012-07-01,Clojure,318
2012-07-02,Clojure,410
2012-07-03,Clojure,378
2012-07-04,Clojure,436
2012-07-05,Clojure,468
2012-07-06,Clojure,558
2012-07-07,Clojure,374
2012-07-08,Clojure,422
2012-07-09,Clojure,488
2012-07-10,Clojure,500
2012-07-11,Clojure,428
2012-07-12,Clojure,454
2012-07-13,Clojure,574
2012-07-14,Clojure,304
2012-07-15,Clojure,372
2012-07-16,Clojure,484
2012-07-17,Clojure,500
2012-07-18,Clojure,466
2012-07-19,Clojure,538
2012-07-20,Clojure,462
2012-07-21,Clojure,446
2012-07-22,Clojure,386
2012-07-23,Clojure,432
2012-07-24,Clojure,458
2012-07-25,Clojure,470
2012-07-26,Clojure,416
2012-07-27,Clojure,474
2012-07-28,Clojure,326
2012-07-29,Clojure,486
2012-07-30,Clojure,456
2012-07-31,Clojure,532
2012-08-01,Clojure,520
2012-08-02,Clojure,542
2012-08-03,Clojure,446
2012-08-04,Clojure,524
2012-08-05,Clojure,496
2012-08-06,Clojure,516
2012-08-07,Clojure,524
2012-08-08,Clojure,568
2012-08-09,Clojure,412
2012-08-10,Clojure,504
2012-08-11,Clojure,536
2012-08-12,Clojure,524
2012-08-13,Clojure,388
2012-08-14,Clojure,508
2012-08-15,Clojure,526
2012-08-16,Clojure,458
2012-08-17,Clojure,422
2012-08-18,Clojure,558
2012-08-19,Clojure,746
2012-08-20,Clojure,1048
2012-08-21,Clojure,1008
2012-08-22,Clojure,1176
2012-08-23,Clojure,1112
2012-08-24,Clojure,956
2012-08-25,Clojure,872
2012-08-26,Clojure,1080
2012-08-27,Clojure,1156
2012-08-28,Clojure,1220
2012-08-29,Clojure,1044
2012-08-30,Clojure,1088
2012-08-31,Clojure,850
2012-09-01,Clojure,418
2012-09-02,Clojure,458
2012-09-03,Clojure,614
2012-09-04,Clojure,460
2012-09-05,Clojure,444
2012-09-06,Clojure,508
2012-09-07,Clojure,522
2012-09-08,Clojure,418
2012-09-09,Clojure,396
2012-09-10,Clojure,390
2012-09-11,Clojure,444
2012-09-12,Clojure,432
2012-09-13,Clojure,335
2012-09-14,Clojure,196
2012-09-15,Clojure,137
2012-09-16,Clojure,171
2012-09-17,Clojure,205
2012-09-18,Clojure,244
2012-09-19,Clojure,262
2012-09-20,Clojure,189
2012-09-21,Clojure,205
2012-09-22,Clojure,212
2012-09-23,Clojure,167
2012-09-24,Clojure,240
2012-09-25,Clojure,214
2012-09-26,Clojure,228
2012-09-27,Clojure,225
2012-09-28,Clojure,185
2012-09-29,Clojure,169
2012-09-30,Clojure,172
2012-10-01,Clojure,214
2012-10-02,Clojure,220
