date,language,count
2012-03-19,clojure,4266
2012-03-26,clojure,4578
2012-04-02,clojure,4215
2012-04-09,clojure,4854
2012-04-16,clojure,4812
2012-04-23,clojure,5016
2012-04-30,clojure,5634
2012-05-07,clojure,5079
2012-05-14,clojure,4983
2012-05-21,clojure,4293
2012-05-28,clojure,4341
2012-06-04,clojure,4638
2012-06-11,clojure,4665
2012-06-18,clojure,3843
2012-06-25,clojure,2748
2012-07-02,clojure,3072
2012-07-09,clojure,3046
2012-07-16,clojure,3120
2012-07-23,clojure,3282
2012-07-30,clojure,3062
2012-08-06,clojure,3516
2012-08-13,clojure,3584
2012-08-20,clojure,3606
2012-08-27,clojure,7252
2012-09-03,clojure,6234
2012-09-10,clojure,3362
2012-09-17,clojure,2105
2012-09-24,clojure,1484
2012-10-01,clojure,1433
2012-10-08,clojure,1579
2012-10-15,clojure,1871
2012-10-22,clojure,1782
2012-10-29,clojure,2325
2012-11-05,clojure,1651
2012-11-12,clojure,1548
2012-11-19,clojure,2108
2012-11-26,clojure,1730
2012-12-03,clojure,1656
2012-12-10,clojure,1735
2012-12-17,clojure,1975
2012-12-24,clojure,1616
2012-12-31,clojure,1468
2013-01-07,clojure,1812
2013-01-14,clojure,2096
2013-01-21,clojure,1610
2013-01-28,clojure,1622
2013-02-04,clojure,1628
2013-02-11,clojure,1363
2013-02-18,clojure,1541
2013-02-25,clojure,1810
2013-03-04,clojure,2336
2013-03-11,clojure,2510
2013-03-18,clojure,2844
2013-03-25,clojure,2860
2013-04-01,clojure,2922
2013-04-08,clojure,2861
2013-04-15,clojure,2525
2013-04-22,clojure,2586
2013-04-29,clojure,2399
2013-05-06,clojure,2725
2013-05-13,clojure,2966
2013-05-20,clojure,2939
2013-05-27,clojure,2998
2013-06-03,clojure,2487
2013-06-10,clojure,2710
2013-06-17,clojure,2986
2013-06-24,clojure,2986
2013-07-01,clojure,2678
2013-07-08,clojure,2480
2013-07-15,clojure,2853
2013-07-22,clojure,2713
2013-07-29,clojure,2620
2013-08-05,clojure,2658
2013-08-12,clojure,2455
2013-08-19,clojure,2663
2013-08-26,clojure,2646
2013-09-02,clojure,2649
2013-09-09,clojure,1741
2013-09-16,clojure,2716
2013-09-23,clojure,2518
2013-09-30,clojure,2815
2013-10-07,clojure,2650
