days,repository_language,lang_count
2012-04-19,Dart,21
2012-04-20,Dart,54
2012-04-21,Dart,93
2012-04-22,Dart,180
2012-04-23,Dart,96
2012-04-24,Dart,57
2012-04-25,Dart,87
2012-04-26,Dart,30
2012-04-27,Dart,117
2012-04-28,Dart,813
2012-04-29,Dart,408
2012-04-30,Dart,42
2012-05-01,Dart,21
2012-05-02,Dart,39
2012-05-03,Dart,21
2012-05-04,Dart,51
2012-05-05,Dart,147
2012-05-06,Dart,147
2012-05-07,Dart,33
2012-05-08,Dart,36
2012-05-09,Dart,81
2012-05-10,Dart,30
2012-05-11,Dart,144
2012-05-12,Dart,585
2012-05-13,Dart,21
2012-05-14,Dart,63
2012-05-15,Dart,57
2012-05-16,Dart,51
2012-05-17,Dart,69
2012-05-18,Dart,108
2012-05-19,Dart,36
2012-05-20,Dart,21
2012-05-21,Dart,30
2012-05-22,Dart,39
2012-05-23,Dart,27
2012-05-24,Dart,15
2012-05-25,Dart,57
2012-05-26,Dart,42
2012-05-27,Dart,21
2012-05-28,Dart,54
2012-05-29,Dart,27
2012-05-30,Dart,42
2012-05-31,Dart,54
2012-06-01,Dart,60
2012-06-02,Dart,36
2012-06-03,Dart,57
2012-06-04,Dart,18
2012-06-05,Dart,45
2012-06-06,Dart,72
2012-06-07,Dart,99
2012-06-08,Dart,30
2012-06-09,Dart,21
2012-06-10,Dart,42
2012-06-11,Dart,90
2012-06-12,Dart,72
2012-06-13,Dart,48
2012-06-14,Dart,38
2012-06-15,Dart,14
2012-06-16,Dart,56
2012-06-17,Dart,42
2012-06-18,Dart,18
2012-06-19,Dart,34
2012-06-20,Dart,32
2012-06-21,Dart,22
2012-06-22,Dart,16
2012-06-23,Dart,28
2012-06-24,Dart,4
2012-06-25,Dart,40
2012-06-26,Dart,10
2012-06-27,Dart,34
2012-06-28,Dart,14
2012-06-29,Dart,18
2012-06-30,Dart,24
2012-07-01,Dart,4
2012-07-02,Dart,16
2012-07-03,Dart,14
2012-07-04,Dart,10
2012-07-05,Dart,24
2012-07-06,Dart,8
2012-07-07,Dart,18
2012-07-08,Dart,14
2012-07-09,Dart,18
2012-07-10,Dart,12
2012-07-11,Dart,18
2012-07-12,Dart,38
2012-07-13,Dart,52
2012-07-14,Dart,56
2012-07-15,Dart,72
2012-07-16,Dart,46
2012-07-17,Dart,54
2012-07-18,Dart,54
2012-07-19,Dart,32
2012-07-20,Dart,30
2012-07-21,Dart,28
2012-07-22,Dart,26
2012-07-23,Dart,28
2012-07-24,Dart,58
2012-07-25,Dart,24
2012-07-26,Dart,10
2012-07-27,Dart,48
2012-07-28,Dart,10
2012-07-29,Dart,44
2012-07-30,Dart,44
2012-07-31,Dart,20
2012-08-01,Dart,48
2012-08-02,Dart,42
2012-08-03,Dart,32
2012-08-04,Dart,24
2012-08-05,Dart,22
2012-08-06,Dart,52
2012-08-07,Dart,84
2012-08-08,Dart,64
2012-08-09,Dart,60
2012-08-10,Dart,34
2012-08-11,Dart,26
2012-08-12,Dart,72
2012-08-13,Dart,40
2012-08-14,Dart,58
2012-08-15,Dart,36
2012-08-16,Dart,44
2012-08-17,Dart,44
2012-08-18,Dart,18
2012-08-19,Dart,70
2012-08-20,Dart,132
2012-08-21,Dart,136
2012-08-22,Dart,160
2012-08-23,Dart,144
2012-08-24,Dart,180
2012-08-25,Dart,152
2012-08-26,Dart,32
2012-08-27,Dart,124
2012-08-28,Dart,120
2012-08-29,Dart,200
2012-08-30,Dart,200
2012-08-31,Dart,130
2012-09-01,Dart,48
2012-09-02,Dart,44
2012-09-03,Dart,58
2012-09-04,Dart,68
2012-09-05,Dart,128
2012-09-06,Dart,106
2012-09-07,Dart,66
2012-09-08,Dart,50
2012-09-09,Dart,64
2012-09-10,Dart,46
2012-09-11,Dart,56
2012-09-12,Dart,90
2012-09-13,Dart,35
2012-09-14,Dart,52
2012-09-15,Dart,25
2012-09-16,Dart,14
2012-09-17,Dart,39
2012-09-18,Dart,59
2012-09-19,Dart,44
2012-09-20,Dart,74
2012-09-21,Dart,56
2012-09-22,Dart,47
2012-09-23,Dart,46
2012-09-24,Dart,56
2012-09-25,Dart,82
2012-09-26,Dart,90
2012-09-27,Dart,60
2012-09-28,Dart,64
2012-09-29,Dart,39
2012-09-30,Dart,62
2012-10-01,Dart,82
2012-10-02,Dart,70
2012-10-03,Dart,60
2012-10-04,Dart,48
2012-10-05,Dart,73
2012-10-06,Dart,47
2012-10-07,Dart,39
2012-10-08,Dart,82
2012-10-09,Dart,78
2012-10-10,Dart,84
2012-10-11,Dart,50
2012-10-12,Dart,78
2012-10-13,Dart,54
2012-10-14,Dart,55
2012-10-15,Dart,64
2012-10-16,Dart,81
2012-10-17,Dart,78
2012-10-18,Dart,90
2012-10-19,Dart,69
2012-10-20,Dart,51
2012-10-21,Dart,59
2012-10-22,Dart,39
2012-10-23,Dart,99
2012-10-24,Dart,117
2012-10-25,Dart,76
2012-10-26,Dart,95
2012-10-27,Dart,61
2012-10-28,Dart,71
2012-10-29,Dart,80
2012-10-30,Dart,82
2012-10-31,Dart,50
2012-11-01,Dart,73
2012-11-02,Dart,73
2012-11-03,Dart,73
2012-11-04,Dart,26
2012-11-05,Dart,86
2012-11-06,Dart,105
2012-11-07,Dart,68
2012-11-08,Dart,72
2012-11-09,Dart,63
2012-11-10,Dart,54
2012-11-11,Dart,38
2012-11-12,Dart,81
2012-11-13,Dart,97
2012-11-14,Dart,106
2012-11-15,Dart,67
2012-11-16,Dart,94
2012-11-17,Dart,69
2012-11-18,Dart,45
2012-11-19,Dart,74
2012-11-20,Dart,76
2012-11-21,Dart,72
2012-11-22,Dart,47
2012-11-23,Dart,101
2012-11-24,Dart,85
2012-11-25,Dart,77
2012-11-26,Dart,88
2012-11-27,Dart,71
2012-11-28,Dart,105
2012-11-29,Dart,45
2012-11-30,Dart,86
2012-12-01,Dart,86
2012-12-02,Dart,42
2012-12-03,Dart,56
2012-12-04,Dart,57
2012-12-05,Dart,51
2012-12-06,Dart,30
2012-12-07,Dart,54
2012-12-08,Dart,36
2012-12-09,Dart,47
2012-12-10,Dart,82
2012-12-11,Dart,60
2012-12-12,Dart,43
2012-12-13,Dart,48
2012-12-14,Dart,34
2012-12-15,Dart,29
2012-12-16,Dart,21
2012-12-17,Dart,34
2012-12-18,Dart,45
2012-12-19,Dart,98
2012-12-20,Dart,33
2012-12-21,Dart,37
2012-12-22,Dart,35
2012-12-23,Dart,36
2012-12-24,Dart,21
2012-12-25,Dart,16
2012-12-26,Dart,13
2012-12-27,Dart,17
2012-12-28,Dart,48
2012-12-29,Dart,31
2012-12-30,Dart,15
2012-12-31,Dart,33
2013-01-01,Dart,36
2013-01-02,Dart,46
2013-01-03,Dart,59
2013-01-04,Dart,36
2013-01-05,Dart,33
2013-01-06,Dart,40
2013-01-07,Dart,71
2013-01-08,Dart,47
2013-01-09,Dart,62
2013-01-10,Dart,61
2013-01-11,Dart,85
2013-01-12,Dart,66
2013-01-13,Dart,93
2013-01-14,Dart,94
2013-01-15,Dart,56
2013-01-16,Dart,33
2013-01-17,Dart,56
2013-01-18,Dart,52
2013-01-19,Dart,30
2013-01-20,Dart,28
2013-01-21,Dart,45
2013-01-22,Dart,121
2013-01-23,Dart,180
2013-01-24,Dart,64
2013-01-25,Dart,90
2013-01-26,Dart,69
2013-01-27,Dart,89
2013-01-28,Dart,75
2013-01-29,Dart,70
2013-01-30,Dart,47
2013-01-31,Dart,47
2013-02-01,Dart,53
2013-02-02,Dart,30
2013-02-03,Dart,138
2013-02-04,Dart,138
2013-02-05,Dart,77
2013-02-06,Dart,232
2013-02-07,Dart,90
2013-02-08,Dart,85
2013-02-09,Dart,128
2013-02-10,Dart,45
2013-02-11,Dart,59
2013-02-12,Dart,69
2013-02-13,Dart,52
2013-02-14,Dart,67
2013-02-15,Dart,26
2013-02-16,Dart,35
2013-02-17,Dart,27
2013-02-18,Dart,54
2013-02-19,Dart,63
2013-02-20,Dart,80
2013-02-21,Dart,106
2013-02-22,Dart,45
2013-02-23,Dart,83
2013-02-24,Dart,75
2013-02-25,Dart,72
2013-02-26,Dart,107
2013-02-27,Dart,70
2013-02-28,Dart,64
2013-03-01,Dart,73
2013-03-02,Dart,44
2013-03-03,Dart,53
2013-03-04,Dart,87
2013-03-05,Dart,87
2013-03-06,Dart,72
2013-03-07,Dart,86
2013-03-08,Dart,104
2013-03-09,Dart,69
2013-03-10,Dart,46
2013-03-11,Dart,70
2013-03-12,Dart,50
2013-03-13,Dart,93
2013-03-14,Dart,70
2013-03-15,Dart,100
2013-03-16,Dart,87
2013-03-17,Dart,106
2013-03-18,Dart,103
2013-03-19,Dart,167
2013-03-20,Dart,81
2013-03-21,Dart,85
2013-03-22,Dart,77
2013-03-23,Dart,49
2013-03-24,Dart,71
2013-03-25,Dart,101
2013-03-26,Dart,97
2013-03-27,Dart,62
2013-03-28,Dart,216
2013-03-29,Dart,133
2013-03-30,Dart,72
2013-03-31,Dart,71
2013-04-01,Dart,86
2013-04-02,Dart,82
2013-04-03,Dart,199
2013-04-04,Dart,234
2013-04-05,Dart,94
2013-04-06,Dart,60
2013-04-07,Dart,83
2013-04-08,Dart,112
2013-04-09,Dart,116
2013-04-10,Dart,177
2013-04-11,Dart,123
2013-04-12,Dart,102
