date,language,count
2012-03-19,elixir,93
2012-03-26,elixir,174
2012-04-02,elixir,276
2012-04-09,elixir,267
2012-04-16,elixir,219
2012-04-23,elixir,162
2012-04-30,elixir,180
2012-05-07,elixir,234
2012-05-15,elixir,204
2012-05-21,elixir,87
2012-05-28,elixir,165
2012-06-04,elixir,363
2012-06-11,elixir,267
2012-06-18,elixir,92
2012-06-26,elixir,44
2012-07-02,elixir,60
2012-07-09,elixir,100
2012-07-16,elixir,106
2012-07-23,elixir,84
2012-07-30,elixir,116
2012-08-06,elixir,86
2012-08-13,elixir,124
2012-08-20,elixir,100
2012-08-27,elixir,324
2012-09-03,elixir,224
2012-09-10,elixir,142
2012-09-17,elixir,162
2012-09-24,elixir,85
2012-10-01,elixir,310
2012-10-08,elixir,135
2012-10-15,elixir,161
2012-10-22,elixir,114
2012-10-29,elixir,84
2012-11-05,elixir,105
2012-11-12,elixir,80
2012-11-19,elixir,46
2012-11-26,elixir,79
2012-12-03,elixir,106
2012-12-10,elixir,134
2012-12-17,elixir,61
2012-12-24,elixir,96
2012-12-31,elixir,65
2013-01-07,elixir,94
2013-01-14,elixir,115
2013-01-21,elixir,106
2013-01-28,elixir,171
2013-02-04,elixir,99
2013-02-11,elixir,37
2013-02-18,elixir,76
2013-02-25,elixir,144
2013-03-04,elixir,139
2013-03-11,elixir,157
2013-03-18,elixir,142
2013-03-25,elixir,87
2013-04-01,elixir,86
2013-04-08,elixir,54
2013-04-15,elixir,221
2013-04-22,elixir,148
2013-04-29,elixir,132
2013-05-06,elixir,128
2013-05-13,elixir,149
2013-05-20,elixir,216
2013-05-27,elixir,219
2013-06-03,elixir,349
2013-06-10,elixir,455
2013-06-17,elixir,298
2013-06-24,elixir,361
2013-07-01,elixir,343
2013-07-08,elixir,424
2013-07-15,elixir,449
2013-07-22,elixir,461
2013-07-29,elixir,485
2013-08-05,elixir,424
2013-08-12,elixir,401
2013-08-19,elixir,370
2013-08-26,elixir,527
2013-09-02,elixir,450
2013-09-09,elixir,355
2013-09-16,elixir,362
2013-09-23,elixir,267
2013-09-30,elixir,223
2013-10-07,elixir,288
