date,language,count
2012-03-19,go,2439
2012-03-26,go,2658
2012-04-02,go,3921
2012-04-09,go,3486
2012-04-16,go,3330
2012-04-23,go,4011
2012-04-30,go,3465
2012-05-07,go,2964
2012-05-14,go,3195
2012-05-21,go,2811
2012-05-28,go,3168
2012-06-04,go,2826
2012-06-11,go,2640
2012-06-18,go,2487
2012-06-25,go,2394
2012-07-02,go,2182
2012-07-09,go,2444
2012-07-16,go,2812
2012-07-23,go,2612
2012-07-30,go,2850
2012-08-06,go,2430
2012-08-13,go,3158
2012-08-20,go,3224
2012-08-27,go,6816
2012-09-03,go,6682
2012-09-10,go,3738
2012-09-17,go,2877
2012-09-24,go,2101
2012-10-01,go,1747
2012-10-08,go,1822
2012-10-15,go,2470
2012-10-22,go,2198
2012-10-29,go,1950
2012-11-05,go,2277
2012-11-12,go,2292
2012-11-19,go,2148
2012-11-26,go,1941
2012-12-03,go,2156
2012-12-10,go,2291
2012-12-17,go,2382
2012-12-24,go,2307
2012-12-31,go,1982
2013-01-07,go,2050
2013-01-14,go,2528
2013-01-21,go,2024
2013-01-28,go,1946
2013-02-04,go,1884
2013-02-11,go,1733
2013-02-18,go,1484
2013-02-25,go,2231
2013-03-04,go,2722
2013-03-11,go,2797
2013-03-18,go,3151
2013-03-25,go,3248
2013-04-01,go,3653
2013-04-08,go,3707
2013-04-15,go,3345
2013-04-22,go,3773
2013-04-29,go,3903
2013-05-06,go,3321
2013-05-13,go,4092
2013-05-20,go,4003
2013-05-27,go,4251
2013-06-03,go,4257
2013-06-10,go,4376
2013-06-17,go,4228
2013-06-24,go,4179
2013-07-01,go,4577
2013-07-08,go,4376
2013-07-15,go,4350
2013-07-22,go,4424
2013-07-29,go,4613
2013-08-05,go,5111
2013-08-12,go,5067
2013-08-19,go,5158
2013-08-26,go,5577
2013-09-02,go,5185
2013-09-09,go,3900
2013-09-16,go,5629
2013-09-23,go,5152
2013-09-30,go,5287
2013-10-07,go,5918
