days,repository_language,lang_count
2012-03-11,Haskell,729
2012-03-12,Haskell,1302
2012-03-13,Haskell,1170
2012-03-14,Haskell,852
2012-03-15,Haskell,846
2012-03-16,Haskell,966
2012-03-17,Haskell,771
2012-03-18,Haskell,831
2012-03-19,Haskell,840
2012-03-20,Haskell,969
2012-03-21,Haskell,1410
2012-03-22,Haskell,948
2012-03-23,Haskell,837
2012-03-24,Haskell,774
2012-03-25,Haskell,1107
2012-03-26,Haskell,858
2012-03-27,Haskell,732
2012-03-28,Haskell,858
2012-03-29,Haskell,828
2012-03-30,Haskell,828
2012-03-31,Haskell,672
2012-04-01,Haskell,699
2012-04-02,Haskell,810
2012-04-03,Haskell,942
2012-04-04,Haskell,819
2012-04-05,Haskell,981
2012-04-06,Haskell,1074
2012-04-07,Haskell,903
2012-04-08,Haskell,1002
2012-04-09,Haskell,1413
2012-04-10,Haskell,900
2012-04-11,Haskell,1113
2012-04-12,Haskell,969
2012-04-13,Haskell,1080
2012-04-14,Haskell,630
2012-04-15,Haskell,999
2012-04-16,Haskell,1056
2012-04-17,Haskell,915
2012-04-18,Haskell,804
2012-04-19,Haskell,951
2012-04-20,Haskell,972
2012-04-21,Haskell,870
2012-04-22,Haskell,1071
2012-04-23,Haskell,1380
2012-04-24,Haskell,1098
2012-04-25,Haskell,963
2012-04-26,Haskell,846
2012-04-27,Haskell,825
2012-04-28,Haskell,654
2012-04-29,Haskell,693
2012-04-30,Haskell,735
2012-05-01,Haskell,1005
2012-05-02,Haskell,732
2012-05-03,Haskell,882
2012-05-04,Haskell,960
2012-05-05,Haskell,741
2012-05-06,Haskell,1041
2012-05-07,Haskell,1125
2012-05-08,Haskell,909
2012-05-09,Haskell,975
2012-05-10,Haskell,1068
2012-05-11,Haskell,1050
2012-05-12,Haskell,816
2012-05-13,Haskell,810
2012-05-14,Haskell,870
2012-05-15,Haskell,930
2012-05-16,Haskell,978
2012-05-17,Haskell,759
2012-05-18,Haskell,663
2012-05-19,Haskell,642
2012-05-20,Haskell,870
2012-05-21,Haskell,762
2012-05-22,Haskell,915
2012-05-23,Haskell,891
2012-05-24,Haskell,729
2012-05-25,Haskell,657
2012-05-26,Haskell,531
2012-05-27,Haskell,672
2012-05-28,Haskell,888
2012-05-29,Haskell,903
2012-05-30,Haskell,1104
2012-05-31,Haskell,891
2012-06-01,Haskell,762
2012-06-02,Haskell,873
2012-06-03,Haskell,867
2012-06-04,Haskell,990
2012-06-05,Haskell,1026
2012-06-06,Haskell,888
2012-06-07,Haskell,672
2012-06-08,Haskell,726
2012-06-09,Haskell,600
2012-06-10,Haskell,900
2012-06-11,Haskell,750
2012-06-12,Haskell,879
2012-06-13,Haskell,846
2012-06-14,Haskell,691
2012-06-15,Haskell,524
2012-06-16,Haskell,482
2012-06-17,Haskell,612
2012-06-18,Haskell,642
2012-06-19,Haskell,714
2012-06-20,Haskell,576
2012-06-21,Haskell,456
2012-06-22,Haskell,494
2012-06-23,Haskell,434
2012-06-24,Haskell,480
2012-06-25,Haskell,592
2012-06-26,Haskell,654
2012-06-27,Haskell,628
2012-06-28,Haskell,614
2012-06-29,Haskell,612
2012-06-30,Haskell,334
2012-07-01,Haskell,454
2012-07-02,Haskell,626
2012-07-03,Haskell,464
2012-07-04,Haskell,482
2012-07-05,Haskell,698
