days,repository_language,lang_count
2012-03-11,Java,11037
2012-03-12,Java,20553
2012-03-13,Java,21327
2012-03-14,Java,20550
2012-03-15,Java,19938
2012-03-16,Java,19899
2012-03-17,Java,12042
2012-03-18,Java,13773
2012-03-19,Java,21765
2012-03-20,Java,22533
2012-03-21,Java,31803
2012-03-22,Java,23928
2012-03-23,Java,20442
2012-03-24,Java,12333
2012-03-25,Java,13992
2012-03-26,Java,21186
2012-03-27,Java,21237
2012-03-28,Java,22095
2012-03-29,Java,22581
2012-03-30,Java,20877
2012-03-31,Java,13503
2012-04-01,Java,14124
2012-04-02,Java,19692
2012-04-03,Java,20793
2012-04-04,Java,20133
2012-04-05,Java,20175
2012-04-06,Java,19512
2012-04-07,Java,12336
2012-04-08,Java,13161
2012-04-09,Java,17520
2012-04-10,Java,20670
2012-04-11,Java,23286
2012-04-12,Java,21876
2012-04-13,Java,19533
2012-04-14,Java,13179
2012-04-15,Java,15573
2012-04-16,Java,23121
2012-04-17,Java,23373
2012-04-18,Java,24876
2012-04-19,Java,25725
2012-04-20,Java,23109
2012-04-21,Java,15132
2012-04-22,Java,17340
2012-04-23,Java,25152
2012-04-24,Java,26427
2012-04-25,Java,25383
2012-04-26,Java,26046
2012-04-27,Java,24339
2012-04-28,Java,14145
2012-04-29,Java,14685
2012-04-30,Java,20223
2012-05-01,Java,19992
2012-05-02,Java,22797
2012-05-03,Java,22911
2012-05-04,Java,20568
2012-05-05,Java,13878
2012-05-06,Java,16056
2012-05-07,Java,23022
2012-05-08,Java,23736
2012-05-09,Java,24327
2012-05-10,Java,24447
2012-05-11,Java,21345
2012-05-12,Java,12648
2012-05-13,Java,14403
2012-05-14,Java,23472
2012-05-15,Java,24009
2012-05-16,Java,22608
2012-05-17,Java,21186
2012-05-18,Java,21225
2012-05-19,Java,13206
2012-05-20,Java,15321
2012-05-21,Java,23298
2012-05-22,Java,24987
2012-05-23,Java,24027
2012-05-24,Java,23565
2012-05-25,Java,20460
2012-05-26,Java,13209
2012-05-27,Java,13119
2012-05-28,Java,19404
2012-05-29,Java,22785
2012-05-30,Java,22692
2012-05-31,Java,20865
2012-06-01,Java,21159
2012-06-02,Java,13308
2012-06-03,Java,15105
2012-06-04,Java,20730
2012-06-05,Java,21171
2012-06-06,Java,21108
2012-06-07,Java,18996
2012-06-08,Java,20892
2012-06-09,Java,14103
2012-06-10,Java,16215
2012-06-11,Java,22533
2012-06-12,Java,22389
2012-06-13,Java,21936
2012-06-14,Java,15043
2012-06-15,Java,12076
2012-06-16,Java,8226
2012-06-17,Java,8154
2012-06-18,Java,13012
2012-06-19,Java,13856
2012-06-20,Java,14288
2012-06-21,Java,13882
2012-06-22,Java,13458
2012-06-23,Java,8148
2012-06-24,Java,9154
2012-06-25,Java,13920
2012-06-26,Java,14490
2012-06-27,Java,14398
2012-06-28,Java,13826
2012-06-29,Java,12452
2012-06-30,Java,6944
2012-07-01,Java,8220
2012-07-02,Java,12680
2012-07-03,Java,13818
2012-07-04,Java,12638
2012-07-05,Java,13714
2012-07-06,Java,13300
2012-07-07,Java,8084
2012-07-08,Java,8214
2012-07-09,Java,13220
2012-07-10,Java,14420
2012-07-11,Java,14310
2012-07-12,Java,14552
2012-07-13,Java,13414
2012-07-14,Java,7418
2012-07-15,Java,7982
2012-07-16,Java,13278
2012-07-17,Java,14348
2012-07-18,Java,13876
2012-07-19,Java,14756
2012-07-20,Java,11806
2012-07-21,Java,7472
2012-07-22,Java,8844
2012-07-23,Java,13216
2012-07-24,Java,14598
2012-07-25,Java,14552
2012-07-26,Java,14292
2012-07-27,Java,13334
2012-07-28,Java,7842
2012-07-29,Java,8070
2012-07-30,Java,13726
2012-07-31,Java,13758
2012-08-01,Java,13938
2012-08-02,Java,13992
2012-08-03,Java,13154
2012-08-04,Java,7928
2012-08-05,Java,8494
2012-08-06,Java,13394
2012-08-07,Java,13002
2012-08-08,Java,15076
2012-08-09,Java,14036
2012-08-10,Java,13730
2012-08-11,Java,8704
2012-08-12,Java,9598
2012-08-13,Java,13772
2012-08-14,Java,14706
2012-08-15,Java,12982
2012-08-16,Java,13310
2012-08-17,Java,13222
2012-08-18,Java,7826
2012-08-19,Java,16476
2012-08-20,Java,26256
2012-08-21,Java,28444
2012-08-22,Java,28780
2012-08-23,Java,30048
2012-08-24,Java,28744
2012-08-25,Java,17468
2012-08-26,Java,18448
2012-08-27,Java,28092
2012-08-28,Java,29412
2012-08-29,Java,28276
2012-08-30,Java,27552
2012-08-31,Java,23194
2012-09-01,Java,8700
2012-09-02,Java,8944
2012-09-03,Java,12404
2012-09-04,Java,14432
2012-09-05,Java,14578
2012-09-06,Java,14840
2012-09-07,Java,13622
2012-09-08,Java,8074
2012-09-09,Java,8474
2012-09-10,Java,14460
2012-09-11,Java,15144
2012-09-12,Java,15686
2012-09-13,Java,9582
2012-09-14,Java,7514
2012-09-15,Java,4694
2012-09-16,Java,4905
2012-09-17,Java,7800
2012-09-18,Java,8200
2012-09-19,Java,8195
2012-09-20,Java,8022
2012-09-21,Java,7951
2012-09-22,Java,4504
2012-09-23,Java,4935
2012-09-24,Java,7958
2012-09-25,Java,7736
2012-09-26,Java,8282
2012-09-27,Java,8389
2012-09-28,Java,7789
2012-09-29,Java,4977
2012-09-30,Java,5320
2012-10-01,Java,7746
2012-10-02,Java,8045
2012-10-03,Java,8418
2012-10-04,Java,8861
2012-10-05,Java,7952
2012-10-06,Java,4950
2012-10-07,Java,5512
2012-10-08,Java,8738
2012-10-09,Java,9570
2012-10-10,Java,9736
2012-10-11,Java,9593
2012-10-12,Java,9119
2012-10-13,Java,5436
2012-10-14,Java,6658
2012-10-15,Java,9032
2012-10-16,Java,9754
2012-10-17,Java,9600
2012-10-18,Java,9524
2012-10-19,Java,8954
2012-10-20,Java,5957
2012-10-21,Java,7211
2012-10-22,Java,10512
2012-10-23,Java,10106
2012-10-24,Java,9731
2012-10-25,Java,9803
2012-10-26,Java,8860
2012-10-27,Java,5955
2012-10-28,Java,6750
2012-10-29,Java,9866
2012-10-30,Java,10450
2012-10-31,Java,10321
2012-11-01,Java,9251
2012-11-02,Java,8817
2012-11-03,Java,5862
2012-11-04,Java,7113
2012-11-05,Java,10622
2012-11-06,Java,10905
2012-11-07,Java,11009
2012-11-08,Java,10811
2012-11-09,Java,9620
2012-11-10,Java,6751
2012-11-11,Java,7191
2012-11-12,Java,10780
2012-11-13,Java,11380
2012-11-14,Java,10876
2012-11-15,Java,10808
2012-11-16,Java,10150
2012-11-17,Java,6929
2012-11-18,Java,6980
2012-11-19,Java,10886
2012-11-20,Java,11178
2012-11-21,Java,10669
2012-11-22,Java,9467
2012-11-23,Java,8695
2012-11-24,Java,6519
2012-11-25,Java,7364
2012-11-26,Java,11020
2012-11-27,Java,12222
2012-11-28,Java,12512
2012-11-29,Java,10947
2012-11-30,Java,10167
2012-12-01,Java,7524
2012-12-02,Java,8380
2012-12-03,Java,12623
2012-12-04,Java,12361
2012-12-05,Java,12199
2012-12-06,Java,11819
2012-12-07,Java,11021
2012-12-08,Java,7188
2012-12-09,Java,8026
2012-12-10,Java,11391
2012-12-11,Java,11675
2012-12-12,Java,11294
2012-12-13,Java,11234
2012-12-14,Java,10045
2012-12-15,Java,6763
2012-12-16,Java,7563
2012-12-17,Java,10609
2012-12-18,Java,10714
2012-12-19,Java,10990
2012-12-20,Java,10342
2012-12-21,Java,9037
2012-12-22,Java,5443
2012-12-23,Java,5166
2012-12-24,Java,5698
2012-12-25,Java,4409
2012-12-26,Java,5822
2012-12-27,Java,7285
2012-12-28,Java,6941
2012-12-29,Java,5679
2012-12-30,Java,5863
