days,repository_language,lang_count
2012-03-11,JavaScript,15066
2012-03-12,JavaScript,25770
2012-03-13,JavaScript,27483
2012-03-14,JavaScript,25827
2012-03-15,JavaScript,24585
2012-03-16,JavaScript,24795
2012-03-17,JavaScript,17445
2012-03-18,JavaScript,17973
2012-03-19,JavaScript,27297
2012-03-20,JavaScript,28674
2012-03-21,JavaScript,39393
2012-03-22,JavaScript,33447
2012-03-23,JavaScript,28269
2012-03-24,JavaScript,19431
2012-03-25,JavaScript,21786
2012-03-26,JavaScript,29256
2012-03-27,JavaScript,28092
2012-03-28,JavaScript,28608
2012-03-29,JavaScript,28368
2012-03-30,JavaScript,27255
2012-03-31,JavaScript,20298
2012-04-01,JavaScript,21702
2012-04-02,JavaScript,26886
2012-04-03,JavaScript,28473
2012-04-04,JavaScript,28920
2012-04-05,JavaScript,26238
2012-04-06,JavaScript,23835
2012-04-07,JavaScript,19065
2012-04-08,JavaScript,19464
2012-04-09,JavaScript,26946
2012-04-10,JavaScript,29148
2012-04-11,JavaScript,30057
2012-04-12,JavaScript,28110
2012-04-13,JavaScript,26958
2012-04-14,JavaScript,20115
2012-04-15,JavaScript,22692
2012-04-16,JavaScript,30642
2012-04-17,JavaScript,30162
2012-04-18,JavaScript,30324
2012-04-19,JavaScript,30705
2012-04-20,JavaScript,28314
2012-04-21,JavaScript,20256
2012-04-22,JavaScript,24024
2012-04-23,JavaScript,30747
2012-04-24,JavaScript,32484
2012-04-25,JavaScript,30852
2012-04-26,JavaScript,31461
2012-04-27,JavaScript,28470
2012-04-28,JavaScript,22593
2012-04-29,JavaScript,23640
2012-04-30,JavaScript,26931
2012-05-01,JavaScript,30237
2012-05-02,JavaScript,32388
2012-05-03,JavaScript,30768
2012-05-04,JavaScript,29337
2012-05-05,JavaScript,20517
2012-05-06,JavaScript,21237
2012-05-07,JavaScript,30849
2012-05-08,JavaScript,28779
2012-05-09,JavaScript,31512
2012-05-10,JavaScript,32763
2012-05-11,JavaScript,29157
2012-05-12,JavaScript,19323
2012-05-13,JavaScript,19500
2012-05-14,JavaScript,31413
2012-05-15,JavaScript,31317
2012-05-16,JavaScript,30636
2012-05-17,JavaScript,30996
2012-05-18,JavaScript,27183
2012-05-19,JavaScript,18363
2012-05-20,JavaScript,20013
2012-05-21,JavaScript,29103
2012-05-22,JavaScript,32745
2012-05-23,JavaScript,32136
2012-05-24,JavaScript,32742
2012-05-25,JavaScript,30060
2012-05-26,JavaScript,18360
2012-05-27,JavaScript,20223
2012-05-28,JavaScript,25758
2012-05-29,JavaScript,32484
2012-05-30,JavaScript,31896
2012-05-31,JavaScript,28377
2012-06-01,JavaScript,29835
2012-06-02,JavaScript,19536
2012-06-03,JavaScript,23493
2012-06-04,JavaScript,30345
2012-06-05,JavaScript,31101
2012-06-06,JavaScript,31686
2012-06-07,JavaScript,30246
2012-06-08,JavaScript,28806
2012-06-09,JavaScript,19938
2012-06-10,JavaScript,21570
2012-06-11,JavaScript,30324
2012-06-12,JavaScript,32553
2012-06-13,JavaScript,34383
2012-06-14,JavaScript,24317
2012-06-15,JavaScript,19498
2012-06-16,JavaScript,12418
2012-06-17,JavaScript,12842
2012-06-18,JavaScript,20198
2012-06-19,JavaScript,21674
2012-06-20,JavaScript,22166
2012-06-21,JavaScript,22132
2012-06-22,JavaScript,20276
2012-06-23,JavaScript,12830
2012-06-24,JavaScript,14900
2012-06-25,JavaScript,21214
2012-06-26,JavaScript,22140
2012-06-27,JavaScript,21264
2012-06-28,JavaScript,20620
2012-06-29,JavaScript,19392
2012-06-30,JavaScript,10764
2012-07-01,JavaScript,13298
2012-07-02,JavaScript,19102
2012-07-03,JavaScript,21236
2012-07-04,JavaScript,18344
2012-07-05,JavaScript,19274
2012-07-06,JavaScript,19394
2012-07-07,JavaScript,14080
2012-07-08,JavaScript,14510
2012-07-09,JavaScript,21588
2012-07-10,JavaScript,23090
2012-07-11,JavaScript,22214
2012-07-12,JavaScript,23310
2012-07-13,JavaScript,21634
2012-07-14,JavaScript,13400
2012-07-15,JavaScript,14312
2012-07-16,JavaScript,22298
2012-07-17,JavaScript,23248
2012-07-18,JavaScript,21820
2012-07-19,JavaScript,22966
2012-07-20,JavaScript,19518
2012-07-21,JavaScript,13092
2012-07-22,JavaScript,15722
2012-07-23,JavaScript,22348
2012-07-24,JavaScript,23594
2012-07-25,JavaScript,23002
2012-07-26,JavaScript,22512
2012-07-27,JavaScript,21018
2012-07-28,JavaScript,12354
2012-07-29,JavaScript,14930
2012-07-30,JavaScript,21050
2012-07-31,JavaScript,22146
2012-08-01,JavaScript,23128
2012-08-02,JavaScript,22146
2012-08-03,JavaScript,20424
2012-08-04,JavaScript,13562
2012-08-05,JavaScript,15160
2012-08-06,JavaScript,21818
2012-08-07,JavaScript,20446
2012-08-08,JavaScript,23606
2012-08-09,JavaScript,23932
2012-08-10,JavaScript,23476
2012-08-11,JavaScript,15932
2012-08-12,JavaScript,18618
2012-08-13,JavaScript,23874
2012-08-14,JavaScript,24134
2012-08-15,JavaScript,23716
2012-08-16,JavaScript,24504
2012-08-17,JavaScript,22662
2012-08-18,JavaScript,14722
2012-08-19,JavaScript,34244
2012-08-20,JavaScript,47600
2012-08-21,JavaScript,51396
2012-08-22,JavaScript,53280
2012-08-23,JavaScript,54468
2012-08-24,JavaScript,47252
2012-08-25,JavaScript,31296
2012-08-26,JavaScript,35080
2012-08-27,JavaScript,49888
2012-08-28,JavaScript,52236
2012-08-29,JavaScript,52412
2012-08-30,JavaScript,50648
2012-08-31,JavaScript,43606
2012-09-01,JavaScript,15782
2012-09-02,JavaScript,17384
2012-09-03,JavaScript,20918
2012-09-04,JavaScript,26372
2012-09-05,JavaScript,27420
2012-09-06,JavaScript,25976
2012-09-07,JavaScript,24892
2012-09-08,JavaScript,16198
2012-09-09,JavaScript,18412
2012-09-10,JavaScript,25786
2012-09-11,JavaScript,26402
2012-09-12,JavaScript,28896
2012-09-13,JavaScript,20292
2012-09-14,JavaScript,12387
2012-09-15,JavaScript,9799
2012-09-16,JavaScript,10010
2012-09-17,JavaScript,13792
2012-09-18,JavaScript,15050
2012-09-19,JavaScript,14596
2012-09-20,JavaScript,14096
2012-09-21,JavaScript,13174
2012-09-22,JavaScript,9625
2012-09-23,JavaScript,10816
2012-09-24,JavaScript,14663
2012-09-25,JavaScript,13798
2012-09-26,JavaScript,14328
2012-09-27,JavaScript,13940
2012-09-28,JavaScript,12495
2012-09-29,JavaScript,9454
2012-09-30,JavaScript,10099
2012-10-01,JavaScript,13365
2012-10-02,JavaScript,13866
2012-10-03,JavaScript,14203
2012-10-04,JavaScript,13499
2012-10-05,JavaScript,13077
2012-10-06,JavaScript,9175
2012-10-07,JavaScript,10057
2012-10-08,JavaScript,13540
2012-10-09,JavaScript,15310
2012-10-10,JavaScript,16005
2012-10-11,JavaScript,14773
2012-10-12,JavaScript,13955
2012-10-13,JavaScript,9921
2012-10-14,JavaScript,10491
2012-10-15,JavaScript,15069
2012-10-16,JavaScript,16266
2012-10-17,JavaScript,15134
2012-10-18,JavaScript,14508
2012-10-19,JavaScript,13760
2012-10-20,JavaScript,10311
2012-10-21,JavaScript,10894
2012-10-22,JavaScript,15584
2012-10-23,JavaScript,16310
2012-10-24,JavaScript,17115
2012-10-25,JavaScript,16780
2012-10-26,JavaScript,15932
2012-10-27,JavaScript,10986
2012-10-28,JavaScript,11674
2012-10-29,JavaScript,14896
2012-10-30,JavaScript,14914
2012-10-31,JavaScript,15252
2012-11-01,JavaScript,14754
2012-11-02,JavaScript,14141
2012-11-03,JavaScript,9530
2012-11-04,JavaScript,10672
