date,language,count
2012-03-19,javascript,163878
2012-03-26,javascript,198297
2012-04-02,javascript,183579
2012-04-09,javascript,172881
2012-04-16,javascript,184026
2012-04-23,javascript,194427
2012-04-30,javascript,200247
2012-05-07,javascript,191415
2012-05-14,javascript,191883
2012-05-21,javascript,189921
2012-05-28,javascript,195369
2012-06-04,javascript,191379
2012-06-11,javascript,193692
2012-06-18,javascript,166335
2012-06-25,javascript,134176
2012-07-02,javascript,128692
2012-07-09,javascript,125940
2012-07-16,javascript,139548
2012-07-23,javascript,138664
2012-07-30,javascript,139758
2012-08-06,javascript,137616
2012-08-13,javascript,147828
2012-08-20,javascript,167856
2012-08-27,javascript,320372
2012-09-03,javascript,281956
2012-09-10,javascript,160188
2012-09-17,javascript,133572
2012-09-24,javascript,91149
2012-10-01,javascript,88777
2012-10-08,javascript,87242
2012-10-15,javascript,93995
2012-10-22,javascript,95942
2012-10-29,javascript,104381
2012-11-05,javascript,94159
2012-11-12,javascript,101460
2012-11-19,javascript,99789
2012-11-26,javascript,95019
2012-12-03,javascript,105572
2012-12-10,javascript,107292
2012-12-17,javascript,107429
2012-12-24,javascript,92928
2012-12-31,javascript,72372
2013-01-07,javascript,85120
2013-01-14,javascript,107376
2013-01-21,javascript,105706
2013-01-28,javascript,111530
2013-02-04,javascript,102324
2013-02-11,javascript,107219
2013-02-18,javascript,104299
2013-02-25,javascript,126855
2013-03-04,javascript,134228
2013-03-11,javascript,139689
2013-03-18,javascript,139303
2013-03-25,javascript,145625
2013-04-01,javascript,139778
2013-04-08,javascript,147207
2013-04-15,javascript,150764
2013-04-22,javascript,144000
2013-04-29,javascript,153575
2013-05-06,javascript,144973
2013-05-13,javascript,146082
2013-05-20,javascript,149468
2013-05-27,javascript,155498
2013-06-03,javascript,157471
2013-06-10,javascript,163800
2013-06-17,javascript,154149
2013-06-24,javascript,157027
2013-07-01,javascript,159387
2013-07-08,javascript,155462
2013-07-15,javascript,200168
2013-07-22,javascript,185965
2013-07-29,javascript,169029
2013-08-05,javascript,146541
2013-08-12,javascript,155152
2013-08-19,javascript,129197
2013-08-26,javascript,137873
2013-09-02,javascript,134459
2013-09-09,javascript,96787
2013-09-16,javascript,140482
2013-09-23,javascript,133366
2013-09-30,javascript,142147
2013-10-07,javascript,137536
