date,language,count
2012-03-19,php,93843
2012-03-26,php,103863
2012-04-02,php,98931
2012-04-09,php,97197
2012-04-16,php,99336
2012-04-23,php,107055
2012-04-30,php,101184
2012-05-07,php,100758
2012-05-14,php,98091
2012-05-21,php,96897
2012-05-28,php,103674
2012-06-04,php,101664
2012-06-11,php,98451
2012-06-18,php,85467
2012-06-25,php,70986
2012-07-02,php,72054
2012-07-09,php,68488
2012-07-16,php,71750
2012-07-23,php,71072
2012-07-30,php,73360
2012-08-06,php,72656
2012-08-13,php,73758
2012-08-20,php,81094
2012-08-27,php,153688
2012-09-03,php,135358
2012-09-10,php,78050
2012-09-17,php,61654
2012-09-24,php,43575
2012-10-01,php,41001
2012-10-08,php,42271
2012-10-15,php,43784
2012-10-22,php,44859
2012-10-29,php,46166
2012-11-05,php,45921
2012-11-12,php,47932
2012-11-19,php,49025
2012-11-26,php,48642
2012-12-03,php,50662
2012-12-10,php,51324
2012-12-17,php,50445
2012-12-24,php,46855
2012-12-31,php,33245
2013-01-07,php,40669
2013-01-14,php,52156
2013-01-21,php,48034
2013-01-28,php,50379
2013-02-04,php,48273
2013-02-11,php,47187
2013-02-18,php,45612
2013-02-25,php,54959
2013-03-04,php,60605
2013-03-11,php,59131
2013-03-18,php,60619
2013-03-25,php,64268
2013-04-01,php,61592
2013-04-08,php,62332
2013-04-15,php,67022
2013-04-22,php,59347
2013-04-29,php,65127
2013-05-06,php,61107
2013-05-13,php,62033
2013-05-20,php,61454
2013-05-27,php,62907
2013-06-03,php,62340
2013-06-10,php,62397
2013-06-17,php,61667
2013-06-24,php,61324
2013-07-01,php,61363
2013-07-08,php,57840
2013-07-15,php,62892
2013-07-22,php,64293
2013-07-29,php,62694
2013-08-05,php,61318
2013-08-12,php,58185
2013-08-19,php,55696
2013-08-26,php,61531
2013-09-02,php,61983
2013-09-09,php,43827
2013-09-16,php,65095
2013-09-23,php,63436
2013-09-30,php,63463
2013-10-07,php,64863
