date,language,count
2012-03-19,python,99435
2012-03-26,python,114030
2012-04-02,python,105492
2012-04-09,python,98454
2012-04-16,python,107346
2012-04-23,python,114333
2012-04-30,python,108756
2012-05-07,python,101853
2012-05-14,python,108504
2012-05-21,python,102243
2012-05-28,python,102270
2012-06-04,python,102102
2012-06-11,python,106164
2012-06-18,python,87512
2012-06-25,python,71012
2012-07-02,python,73708
2012-07-09,python,70262
2012-07-16,python,78316
2012-07-23,python,76118
2012-07-30,python,73358
2012-08-06,python,73956
2012-08-13,python,75216
2012-08-20,python,88954
2012-08-27,python,156592
2012-09-03,python,137212
2012-09-10,python,78608
2012-09-17,python,64130
2012-09-24,python,42107
2012-10-01,python,41555
2012-10-08,python,42017
2012-10-15,python,45159
2012-10-22,python,45060
2012-10-29,python,46729
2012-11-05,python,45854
2012-11-12,python,48397
2012-11-19,python,49006
2012-11-26,python,45987
2012-12-03,python,50507
2012-12-10,python,51584
2012-12-17,python,49793
2012-12-24,python,44804
2012-12-31,python,32009
2013-01-07,python,37494
2013-01-14,python,48427
2013-01-21,python,44772
2013-01-28,python,47613
2013-02-04,python,45884
2013-02-11,python,47756
2013-02-18,python,44782
2013-02-25,python,56555
2013-03-04,python,61647
2013-03-11,python,62197
2013-03-18,python,61703
2013-03-25,python,62074
2013-04-01,python,60957
2013-04-08,python,65534
2013-04-15,python,67901
2013-04-22,python,63204
2013-04-29,python,67731
2013-05-06,python,64923
2013-05-13,python,63921
2013-05-20,python,65587
2013-05-27,python,65693
2013-06-03,python,64487
2013-06-10,python,67519
2013-06-17,python,65373
2013-06-24,python,66212
2013-07-01,python,70027
2013-07-08,python,68316
2013-07-15,python,82323
2013-07-22,python,73169
2013-07-29,python,70849
2013-08-05,python,69362
2013-08-12,python,66128
2013-08-19,python,65515
2013-08-26,python,69830
2013-09-02,python,69321
2013-09-09,python,48911
2013-09-16,python,70768
2013-09-23,python,68734
2013-09-30,python,75533
2013-10-07,python,78461
