date,language,count
2012-03-19,ruby,130014
2012-03-26,ruby,135378
2012-04-02,ruby,129495
2012-04-09,ruby,122631
2012-04-16,ruby,132327
2012-04-23,ruby,135438
2012-04-30,ruby,139593
2012-05-07,ruby,135390
2012-05-14,ruby,127146
2012-05-21,ruby,125343
2012-05-28,ruby,131505
2012-06-04,ruby,131760
2012-06-11,ruby,131748
2012-06-18,ruby,111245
2012-06-25,ruby,87414
2012-07-02,ruby,83162
2012-07-09,ruby,83896
2012-07-16,ruby,90722
2012-07-23,ruby,86416
2012-07-30,ruby,91446
2012-08-06,ruby,87692
2012-08-13,ruby,92432
2012-08-20,ruby,94286
2012-08-27,ruby,176888
2012-09-03,ruby,150890
2012-09-10,ruby,90950
2012-09-17,ruby,73516
2012-09-24,ruby,49266
2012-10-01,ruby,48921
2012-10-08,ruby,48038
2012-10-15,ruby,50844
2012-10-22,ruby,52492
2012-10-29,ruby,52728
2012-11-05,ruby,52939
2012-11-12,ruby,53996
2012-11-19,ruby,57250
2012-11-26,ruby,50958
2012-12-03,ruby,56444
2012-12-10,ruby,57945
2012-12-17,ruby,55551
2012-12-24,ruby,51564
2012-12-31,ruby,38537
2013-01-07,ruby,45062
2013-01-14,ruby,60717
2013-01-21,ruby,52208
2013-01-28,ruby,51418
2013-02-04,ruby,48564
2013-02-11,ruby,50714
2013-02-18,ruby,51097
2013-02-25,ruby,60849
2013-03-04,ruby,68081
2013-03-11,ruby,68998
2013-03-18,ruby,68667
2013-03-25,ruby,72845
2013-04-01,ruby,68266
2013-04-08,ruby,71583
2013-04-15,ruby,74293
2013-04-22,ruby,69560
2013-04-29,ruby,71103
2013-05-06,ruby,69269
2013-05-13,ruby,71110
2013-05-20,ruby,70832
2013-05-27,ruby,70119
2013-06-03,ruby,68647
2013-06-10,ruby,72283
2013-06-17,ruby,69301
2013-06-24,ruby,70386
2013-07-01,ruby,74019
2013-07-08,ruby,71789
2013-07-15,ruby,75695
2013-07-22,ruby,76278
2013-07-29,ruby,75852
2013-08-05,ruby,73008
2013-08-12,ruby,70306
2013-08-19,ruby,64894
2013-08-26,ruby,69486
2013-09-02,ruby,68917
2013-09-09,ruby,49092
2013-09-16,ruby,70144
2013-09-23,ruby,66531
2013-09-30,ruby,67608
2013-10-07,ruby,78834
