days,repository_language,lang_count
2013-08-14,Python,11410
2013-02-01,Python,6730
2012-10-15,Python,7126
2013-09-04,Python,4174
2013-05-02,Python,11108
2012-11-10,Python,4955
2012-07-20,Python,11316
2013-06-14,Python,9875
2012-10-27,Python,4323
2012-09-01,Python,6976
2013-04-03,Python,10627
2013-08-16,Python,9638
2012-07-03,Python,12094
2012-11-06,Python,7916
2013-05-12,Python,6540
2013-01-10,Python,8278
2012-11-29,Python,7513
2012-03-22,Python,19203
2012-05-04,Python,16185
2013-10-10,Python,12636
2013-08-21,Python,11826
2013-01-21,Python,7043
2012-09-25,Python,6381
2012-03-31,Python,10440
2013-09-22,Python,7371
2012-07-23,Python,12112
2012-11-08,Python,7900
2012-06-04,Python,16545
2013-04-19,Python,9599
2013-04-06,Python,7344
2012-12-22,Python,4022
2012-10-05,Python,6608
2012-06-15,Python,10564
2012-07-21,Python,7118
2012-08-31,Python,21570
2013-09-14,Python,6875
2012-10-23,Python,7263
2012-04-08,Python,10014
2012-05-24,Python,16671
2013-01-08,Python,8032
2012-08-30,Python,24780
2012-08-25,Python,15588
2012-06-23,Python,6232
2013-04-04,Python,10155
2013-07-03,Python,11889
2013-04-08,Python,10607
2012-09-28,Python,6401
2012-12-10,Python,8515
2012-10-09,Python,7227
2012-07-08,Python,7210
2013-05-03,Python,10142
2013-01-05,Python,4873
2013-10-07,Python,12716
2013-01-13,Python,5102
2012-07-13,Python,12626
2013-02-07,Python,8075
2013-08-29,Python,11488
2012-04-05,Python,15777
2012-04-02,Python,15780
2013-07-16,Python,12503
2012-11-03,Python,4414
2012-05-21,Python,15249
2012-09-21,Python,6275
2012-03-11,Python,8253
2012-07-19,Python,12640
2013-08-17,Python,6324
2012-04-26,Python,17874
2012-10-02,Python,6981
2012-05-27,Python,10158
2013-05-29,Python,11174
2012-10-26,Python,7129
2012-10-06,Python,4221
2013-04-25,Python,10327
2012-06-26,Python,12800
2012-04-25,Python,17169
2012-10-03,Python,6821
2012-03-14,Python,16257
2013-02-08,Python,7245
2013-10-06,Python,8699
2012-10-04,Python,6766
2013-04-05,Python,10501
2012-08-12,Python,8490
2012-10-18,Python,7261
2012-11-28,Python,8465
2013-01-31,Python,6883
2012-11-19,Python,7811
2012-04-06,Python,13845
2013-06-10,Python,9994
2013-01-29,Python,7853
2013-05-18,Python,6731
2013-06-26,Python,11340
2013-01-03,Python,6838
2013-07-09,Python,14835
2012-10-31,Python,7562
2013-01-06,Python,4945
2013-03-26,Python,9839
2012-04-22,Python,13116
2012-12-23,Python,3673
2013-04-18,Python,10743
2013-06-02,Python,6970
2013-09-21,Python,6854
2012-08-14,Python,13010
2013-04-24,Python,11287
2012-08-29,Python,25640
2013-07-25,Python,11532
2012-09-30,Python,4321
2012-05-25,Python,15291
2013-08-09,Python,10148
2013-10-03,Python,14291
2012-09-03,Python,11176
2012-03-27,Python,16218
2012-08-24,Python,23256
2013-06-19,Python,10574
2012-12-07,Python,7333
2013-06-08,Python,6295
2012-08-21,Python,26988
2012-12-15,Python,4471
2013-07-13,Python,8649
