days,repository_language,lang_count
2012-05-02,Ruby,22149
2013-04-03,Ruby,11007
2012-11-26,Ruby,8653
2013-02-13,Ruby,8057
2012-03-22,Ruby,21855
2013-04-21,Ruby,8323
2012-04-05,Ruby,19314
2012-11-13,Ruby,9419
2012-11-30,Ruby,7966
2013-05-05,Ruby,7644
2013-03-26,Ruby,10727
2013-02-20,Ruby,8793
2013-07-31,Ruby,12810
2013-05-07,Ruby,11548
2013-07-11,Ruby,12476
2013-10-02,Ruby,14787
2012-07-11,Ruby,14994
2013-03-30,Ruby,7490
2013-09-18,Ruby,11215
2013-07-08,Ruby,12035
2013-07-19,Ruby,11521
2013-02-26,Ruby,11364
2013-04-22,Ruby,11665
2012-12-02,Ruby,6883
2013-05-18,Ruby,7258
2012-09-21,Ruby,7456
2012-04-27,Ruby,20352
2012-05-17,Ruby,19812
2012-04-13,Ruby,19200
2013-09-17,Ruby,11289
2012-06-07,Ruby,20544
2012-04-30,Ruby,19446
2013-08-23,Ruby,10527
2013-07-20,Ruby,7065
2012-11-10,Ruby,5654
2013-05-19,Ruby,8228
2013-03-09,Ruby,7459
2012-11-20,Ruby,8947
2012-12-05,Ruby,10079
2012-05-07,Ruby,20769
2013-02-25,Ruby,9059
2012-05-16,Ruby,20616
2012-11-11,Ruby,6006
2013-09-01,Ruby,7172
2013-01-25,Ruby,7765
2013-07-01,Ruby,11666
2013-03-12,Ruby,10488
2013-07-13,Ruby,6689
2012-03-23,Ruby,18879
2013-08-03,Ruby,6616
2013-03-14,Ruby,10156
2013-06-17,Ruby,11127
2012-09-23,Ruby,5519
2013-04-02,Ruby,11361
2012-05-11,Ruby,18531
2012-09-10,Ruby,15156
2012-05-05,Ruby,15015
2012-09-26,Ruby,8191
2013-08-07,Ruby,10921
2013-09-02,Ruby,9437
2013-08-28,Ruby,11600
2012-09-19,Ruby,8048
2012-04-07,Ruby,13269
2013-01-01,Ruby,4045
2012-10-20,Ruby,5670
2013-10-05,Ruby,6866
2012-05-14,Ruby,19866
2013-09-23,Ruby,10195
2013-03-21,Ruby,11307
2012-11-04,Ruby,6383
2013-05-08,Ruby,11022
2012-11-19,Ruby,8536
2012-07-27,Ruby,13678
2012-07-22,Ruby,8730
2013-07-02,Ruby,12034
2013-03-31,Ruby,7192
2012-05-15,Ruby,20553
2013-05-10,Ruby,11300
2013-03-29,Ruby,9963
2012-08-07,Ruby,13610
2013-09-20,Ruby,9186
2012-11-01,Ruby,7850
2013-10-13,Ruby,7365
2012-06-30,Ruby,7344
2013-03-22,Ruby,10565
2013-01-02,Ruby,7243
2012-05-25,Ruby,19791
2013-04-23,Ruby,11637
2012-12-14,Ruby,8270
2013-02-28,Ruby,10830
2012-11-17,Ruby,6462
2012-04-28,Ruby,15912
2012-06-13,Ruby,21927
2013-09-15,Ruby,7756
2013-01-13,Ruby,6262
2012-05-01,Ruby,21579
2012-07-16,Ruby,13500
2012-08-28,Ruby,28612
2012-05-26,Ruby,12444
2013-03-11,Ruby,10538
2012-10-13,Ruby,5318
2013-05-27,Ruby,9347
2012-06-08,Ruby,19266
2012-06-16,Ruby,8760
2013-06-13,Ruby,11054
2012-08-17,Ruby,12556
2013-04-12,Ruby,10951
2013-03-25,Ruby,11204
2012-06-24,Ruby,9230
2013-06-07,Ruby,11108
2013-07-27,Ruby,7767
2012-12-01,Ruby,6426
2012-10-21,Ruby,6087
2013-07-07,Ruby,7400
2013-08-25,Ruby,6959
2012-11-09,Ruby,8177
2012-11-05,Ruby,8541
2013-03-13,Ruby,11137
2012-06-05,Ruby,22233
2012-06-18,Ruby,13784
2012-12-04,Ruby,9112
2013-08-27,Ruby,11668
2012-07-06,Ruby,13336
2012-05-23,Ruby,21360
2012-12-06,Ruby,9525
2013-02-27,Ruby,11400
2012-09-22,Ruby,4728
2012-10-19,Ruby,7603
2012-07-07,Ruby,8264
2012-12-28,Ruby,6832
2012-06-28,Ruby,13548
2012-06-23,Ruby,8784
2012-11-02,Ruby,7768
2012-12-29,Ruby,5156
2012-12-25,Ruby,4028
2013-09-12,Ruby,10961
2013-07-29,Ruby,11916
2013-02-16,Ruby,5487
2013-07-30,Ruby,13081
2012-06-20,Ruby,14222
2013-09-25,Ruby,10956
2013-08-08,Ruby,11850
2013-01-07,Ruby,8365
2013-03-24,Ruby,8496
2013-08-12,Ruby,10792
2013-07-26,Ruby,12035
2013-09-30,Ruby,11260
2012-07-05,Ruby,12810
2013-02-11,Ruby,7945
2013-04-01,Ruby,9984
2012-09-16,Ruby,5255
2012-09-08,Ruby,9596
2012-08-11,Ruby,10158
2012-07-17,Ruby,14834
2012-07-04,Ruby,11990
2013-04-15,Ruby,10944
2012-06-09,Ruby,13467
2012-11-15,Ruby,8755
2013-01-17,Ruby,8274
2012-08-16,Ruby,13744
2013-09-13,Ruby,10650
2012-11-23,Ruby,6413
2013-04-19,Ruby,10676
2012-12-27,Ruby,7101
2013-01-11,Ruby,10538
2012-07-01,Ruby,8656
2013-09-11,Ruby,11861
2012-08-03,Ruby,13078
2012-04-14,Ruby,14403
2012-09-15,Ruby,4720
2013-05-16,Ruby,10461
2012-11-14,Ruby,8959
2012-08-08,Ruby,14774
2012-07-31,Ruby,14784
2012-10-17,Ruby,8233
2013-01-19,Ruby,5050
