months,repository_language,lang_count
2008-03,CoffeeScript,00
2008-04,CoffeeScript,00
2008-05,CoffeeScript,000
2008-06,CoffeeScript,00
2008-07,CoffeeScript,00
2008-08,CoffeeScript,00
2008-09,CoffeeScript,00
2008-10,CoffeeScript,000
2008-11,CoffeeScript,000
2008-12,CoffeeScript,000
2009-01,CoffeeScript,000
2009-02,CoffeeScript,000
2009-03,CoffeeScript,000
2009-04,CoffeeScript,000
2009-05,CoffeeScript,000
2009-06,CoffeeScript,000
2009-07,CoffeeScript,000
2009-08,CoffeeScript,000
2009-09,CoffeeScript,000
2009-10,CoffeeScript,000
2009-11,CoffeeScript,0000
2009-12,CoffeeScript,0000
2010-01,CoffeeScript,0000
2010-02,CoffeeScript,0000
2010-03,CoffeeScript,5
2010-04,CoffeeScript,1
2010-06,CoffeeScript,6
2010-08,CoffeeScript,18
2010-10,CoffeeScript,44
2010-11,CoffeeScript,6
2010-12,CoffeeScript,16
2011-01,CoffeeScript,28
2011-02,CoffeeScript,72
2011-03,CoffeeScript,24
2011-04,CoffeeScript,67
2011-05,CoffeeScript,242
2011-06,CoffeeScript,223
2011-07,CoffeeScript,338
2011-08,CoffeeScript,490
2011-09,CoffeeScript,696
2011-10,CoffeeScript,1738
2011-11,CoffeeScript,1818
2011-12,CoffeeScript,1923
2012-01,CoffeeScript,1870
2012-02,CoffeeScript,1992
2012-03,CoffeeScript,11126
2012-04,CoffeeScript,16382
2012-05,CoffeeScript,12140
2012-06,CoffeeScript,10707
2012-07,CoffeeScript,10190
2012-08,CoffeeScript,10881
2012-09,CoffeeScript,6197
2012-10,CoffeeScript,5210
2012-11,CoffeeScript,5598
2012-12,CoffeeScript,6205
2013-01,CoffeeScript,7267
2013-02,CoffeeScript,9029
2013-03,CoffeeScript,7784
2013-04,CoffeeScript,12587
2013-05,CoffeeScript,8019
2013-06,CoffeeScript,6333
2013-07,CoffeeScript,8184
2013-08,CoffeeScript,7753
2013-09,CoffeeScript,6816
