months,repository_language,lang_count
2008-03,Go,00
2008-04,Go,00
2008-05,Go,000
2008-06,Go,00
2008-07,Go,00
2008-08,Go,00
2008-09,Go,00
2008-10,Go,000
2008-11,Go,000
2008-12,Go,000
2009-01,Go,000
2009-02,Go,000
2009-03,Go,000
2009-04,Go,000
2009-05,Go,000
2009-06,Go,000
2009-07,Go,000
2009-08,Go,000
2009-09,Go,000
2009-10,Go,000
2009-11,Go,6
2009-12,Go,91
2010-01,Go,86
2010-02,Go,22
2010-03,Go,14
2010-04,Go,31
2010-05,Go,32
2010-06,Go,49
2010-07,Go,31
2010-08,Go,22
2010-09,Go,89
2010-10,Go,119
2010-11,Go,72
2010-12,Go,48
2011-01,Go,111
2011-02,Go,80
2011-03,Go,89
2011-04,Go,116
2011-05,Go,189
2011-06,Go,188
2011-07,Go,198
2011-08,Go,178
2011-09,Go,468
2011-10,Go,697
2011-11,Go,402
2011-12,Go,338
2012-01,Go,947
2012-02,Go,1512
2012-03,Go,3852
2012-04,Go,6915
2012-05,Go,4768
2012-06,Go,2714
2012-07,Go,3968
2012-08,Go,3943
2012-09,Go,4738
2012-10,Go,4117
2012-11,Go,3148
2012-12,Go,3822
2013-01,Go,4205
2013-02,Go,3514
2013-03,Go,6975
2013-04,Go,6989
2013-05,Go,8519
2013-06,Go,9000
2013-07,Go,11610
2013-08,Go,12640
2013-09,Go,9091
