months,repository_language,lang_count
2008-03,Haskell,0
2008-04,Haskell,0
2008-05,Haskell,4
2008-08,Haskell,6
2008-09,Haskell,3
2008-10,Haskell,2
2008-11,Haskell,4
2008-12,Haskell,4
2009-01,Haskell,7
2009-02,Haskell,6
2009-03,Haskell,8
2009-04,Haskell,9
2009-05,Haskell,4
2009-06,Haskell,30
2009-07,Haskell,22
2009-08,Haskell,28
2009-09,Haskell,4
2009-10,Haskell,88
2009-11,Haskell,12
2009-12,Haskell,8
2010-01,Haskell,25
2010-02,Haskell,15
2010-03,Haskell,28
2010-04,Haskell,135
2010-05,Haskell,59
2010-06,Haskell,62
2010-07,Haskell,94
2010-08,Haskell,57
2010-09,Haskell,143
2010-10,Haskell,63
2010-11,Haskell,176
2010-12,Haskell,64
2011-01,Haskell,116
2011-02,Haskell,149
2011-03,Haskell,225
2011-04,Haskell,152
2011-05,Haskell,128
2011-06,Haskell,199
2011-07,Haskell,164
2011-08,Haskell,272
2011-09,Haskell,271
2011-10,Haskell,760
2011-11,Haskell,311
2011-12,Haskell,370
2012-01,Haskell,617
2012-02,Haskell,861
2012-03,Haskell,2557
2012-04,Haskell,3366
2012-05,Haskell,3533
2012-06,Haskell,2781
2012-07,Haskell,2944
2012-08,Haskell,2783
2012-09,Haskell,1487
2012-10,Haskell,1288
2012-11,Haskell,1290
2012-12,Haskell,1517
2013-01,Haskell,1658
2013-02,Haskell,1644
2013-03,Haskell,1617
2013-04,Haskell,1375
2013-05,Haskell,1565
2013-06,Haskell,1431
2013-07,Haskell,1496
2013-08,Haskell,1801
2013-09,Haskell,1273
