months,repository_language,lang_count
2008-03,PHP,5
2008-04,PHP,11
2008-05,PHP,8
2008-06,PHP,27
2008-07,PHP,8
2008-08,PHP,10
2008-09,PHP,15
2008-10,PHP,17
2008-11,PHP,15
2008-12,PHP,72
2009-01,PHP,142
2009-02,PHP,113
2009-03,PHP,105
2009-04,PHP,314
2009-05,PHP,140
2009-06,PHP,119
2009-07,PHP,277
2009-08,PHP,208
2009-09,PHP,257
2009-10,PHP,176
2009-11,PHP,456
2009-12,PHP,398
2010-01,PHP,438
2010-02,PHP,506
2010-03,PHP,576
2010-04,PHP,741
2010-05,PHP,1082
2010-06,PHP,817
2010-07,PHP,832
2010-08,PHP,750
2010-09,PHP,1268
2010-10,PHP,1753
2010-11,PHP,1434
2010-12,PHP,1481
2011-01,PHP,1614
2011-02,PHP,2038
2011-03,PHP,2450
2011-04,PHP,2407
2011-05,PHP,3212
2011-06,PHP,3717
2011-07,PHP,4726
2011-08,PHP,5254
2011-09,PHP,5895
2011-10,PHP,8509
2011-11,PHP,7317
2011-12,PHP,8008
2012-01,PHP,15952
2012-02,PHP,20672
2012-03,PHP,56112
2012-04,PHP,61092
2012-05,PHP,68196
2012-06,PHP,47698
2012-07,PHP,46634
2012-08,PHP,50772
2012-09,PHP,27214
2012-10,PHP,25606
2012-11,PHP,25843
2012-12,PHP,22438
2013-01,PHP,30995
2013-02,PHP,28718
2013-03,PHP,33947
2013-04,PHP,33303
2013-05,PHP,31450
2013-06,PHP,29331
2013-07,PHP,33501
2013-08,PHP,28803
2013-09,PHP,22730
