months,repository_language,lang_count
2008-03,Ruby,177
2008-04,Ruby,257
2008-05,Ruby,348
2008-06,Ruby,263
2008-07,Ruby,347
2008-08,Ruby,352
2008-09,Ruby,317
2008-10,Ruby,407
2008-11,Ruby,539
2008-12,Ruby,496
2009-01,Ruby,566
2009-02,Ruby,656
2009-03,Ruby,738
2009-04,Ruby,719
2009-05,Ruby,894
2009-06,Ruby,711
2009-07,Ruby,816
2009-08,Ruby,1038
2009-09,Ruby,721
2009-10,Ruby,1118
2009-11,Ruby,1149
2009-12,Ruby,1440
2010-01,Ruby,1429
2010-02,Ruby,1597
2010-03,Ruby,1517
2010-04,Ruby,2131
2010-05,Ruby,1415
2010-06,Ruby,1493
2010-07,Ruby,2576
2010-08,Ruby,2186
2010-09,Ruby,2440
2010-10,Ruby,2174
2010-11,Ruby,2673
2010-12,Ruby,2171
2011-01,Ruby,2685
2011-02,Ruby,3057
2011-03,Ruby,3818
2011-04,Ruby,3990
2011-05,Ruby,4627
2011-06,Ruby,5012
2011-07,Ruby,5623
2011-08,Ruby,8668
2011-09,Ruby,12518
2011-10,Ruby,16197
2011-11,Ruby,16032
2011-12,Ruby,13674
2012-01,Ruby,25845
2012-02,Ruby,35385
2012-03,Ruby,108086
2012-04,Ruby,124631
2012-05,Ruby,124163
2012-06,Ruby,89663
2012-07,Ruby,76039
2012-08,Ruby,90121
2012-09,Ruby,50321
2012-10,Ruby,47009
2012-11,Ruby,41823
2012-12,Ruby,45351
2013-01,Ruby,50247
2013-02,Ruby,54136
2013-03,Ruby,57599
2013-04,Ruby,58508
2013-05,Ruby,56218
2013-06,Ruby,46981
2013-07,Ruby,51051
2013-08,Ruby,43034
2013-09,Ruby,35601
