months,repository_language,lang_count
2008-03,VimL,0
2008-04,VimL,0
2008-05,VimL,8
2008-06,VimL,7
2008-08,VimL,1
2008-10,VimL,8
2008-11,VimL,1
2008-12,VimL,22
2009-01,VimL,21
2009-02,VimL,1
2009-03,VimL,17
2009-04,VimL,20
2009-06,VimL,7
2009-07,VimL,12
2009-08,VimL,15
2009-09,VimL,3
2009-10,VimL,5
2009-11,VimL,40
2009-12,VimL,24
2010-01,VimL,25
2010-02,VimL,50
2010-03,VimL,99
2010-04,VimL,202
2010-05,VimL,53
2010-06,VimL,93
2010-07,VimL,26
2010-08,VimL,121
2010-09,VimL,104
2010-10,VimL,1682
2010-11,VimL,424
2010-12,VimL,392
2011-01,VimL,166
2011-02,VimL,234
2011-03,VimL,295
2011-04,VimL,345
2011-05,VimL,1128
2011-06,VimL,577
2011-07,VimL,447
2011-08,VimL,982
2011-09,VimL,650
2011-10,VimL,4832
2011-11,VimL,3468
2011-12,VimL,1415
2012-01,VimL,2070
2012-02,VimL,4329
2012-03,VimL,11347
2012-04,VimL,15649
2012-05,VimL,10594
2012-06,VimL,8209
2012-07,VimL,9441
2012-08,VimL,11977
2012-09,VimL,5125
2012-10,VimL,4779
2012-11,VimL,3979
2012-12,VimL,5085
2013-01,VimL,6916
2013-02,VimL,4973
2013-03,VimL,8150
2013-04,VimL,7784
2013-05,VimL,6028
2013-06,VimL,5465
2013-07,VimL,6059
2013-08,VimL,7505
2013-09,VimL,3923
