months,repository_language,lang_count
2008-03,Clojure,00
2008-04,Clojure,00
2008-05,Clojure,000
2008-06,Clojure,00
2008-07,Clojure,00
2008-08,Clojure,00
2008-09,Clojure,00
2008-10,Clojure,000
2008-11,Clojure,000
2008-12,Clojure,13
2009-01,Clojure,19
2009-02,Clojure,3
2009-03,Clojure,6
2009-04,Clojure,4
2009-05,Clojure,11
2009-06,Clojure,21
2009-07,Clojure,12
2009-08,Clojure,4
2009-09,Clojure,27
2009-10,Clojure,73
2009-11,Clojure,24
2009-12,Clojure,33
2010-01,Clojure,32
2010-02,Clojure,125
2010-03,Clojure,41
2010-04,Clojure,72
2010-05,Clojure,46
2010-06,Clojure,106
2010-07,Clojure,178
2010-08,Clojure,272
2010-09,Clojure,129
2010-10,Clojure,101
2010-11,Clojure,101
2010-12,Clojure,155
2011-01,Clojure,134
2011-02,Clojure,128
2011-03,Clojure,142
2011-04,Clojure,215
2011-05,Clojure,254
2011-06,Clojure,301
2011-07,Clojure,451
2011-08,Clojure,166
2011-09,Clojure,640
2011-10,Clojure,895
2011-11,Clojure,854
2011-12,Clojure,818
2012-01,Clojure,992
2012-02,Clojure,2079
2012-03,Clojure,8020
2012-04,Clojure,9831
2012-05,Clojure,7460
2012-06,Clojure,5307
2012-07,Clojure,5411
2012-08,Clojure,6354
2012-09,Clojure,3447
2012-10,Clojure,2680
2012-11,Clojure,2897
2012-12,Clojure,2927
2013-01,Clojure,3691
2013-02,Clojure,2770
2013-03,Clojure,5240
2013-04,Clojure,4016
2013-05,Clojure,4625
2013-06,Clojure,3116
2013-07,Clojure,4096
2013-08,Clojure,4029
2013-09,Clojure,3141
