months,repository_language,lang_count
2008-03,Elixir,00
2008-04,Elixir,00
2008-05,Elixir,000
2008-06,Elixir,00
2008-07,Elixir,00
2008-08,Elixir,00
2008-09,Elixir,00
2008-10,Elixir,000
2008-11,Elixir,000
2008-12,Elixir,000
2009-01,Elixir,000
2009-02,Elixir,000
2009-03,Elixir,000
2009-04,Elixir,000
2009-05,Elixir,000
2009-06,Elixir,000
2009-07,Elixir,000
2009-08,Elixir,000
2009-09,Elixir,000
2009-10,Elixir,000
2009-11,Elixir,0000
2009-12,Elixir,0000
2010-01,Elixir,0000
2010-02,Elixir,0000
2010-03,Elixir,0000
2010-04,Elixir,0000
2010-05,Elixir,0000
2010-06,Elixir,0000
2010-07,Elixir,0000
2010-08,Elixir,0000
2010-09,Elixir,0000
2010-10,Elixir,0000
2010-11,Elixir,0000
2010-12,Elixir,0000
2011-01,Elixir,0000
2011-02,Elixir,0000
2011-03,Elixir,0000
2011-04,Elixir,0000
2011-05,Elixir,0000
2011-06,Elixir,0000
2011-07,Elixir,00000
2011-08,Elixir,00000
2011-09,Elixir,00000
2011-10,Elixir,00000
2011-11,Elixir,00000
2011-12,Elixir,00000
2012-01,Elixir,00000
2012-02,Elixir,00000
2012-03,Elixir,000000
2012-03,Elixir,237
2012-04,Elixir,250
2012-05,Elixir,195
2012-06,Elixir,92
2012-07,Elixir,97
2012-08,Elixir,170
2012-09,Elixir,85
2012-10,Elixir,96
2012-11,Elixir,97
2012-12,Elixir,44
2013-01,Elixir,151
2013-02,Elixir,187
2013-03,Elixir,92
2013-04,Elixir,213
2013-05,Elixir,229
2013-06,Elixir,511
2013-07,Elixir,549
2013-08,Elixir,612
2013-09,Elixir,565
