months,repository_language,lang_count
2008-05,Java,14
2008-06,Java,4
2008-07,Java,4
2008-08,Java,14
2008-09,Java,17
2008-10,Java,6
2008-11,Java,26
2008-12,Java,9
2009-01,Java,57
2009-02,Java,78
2009-03,Java,57
2009-04,Java,67
2009-05,Java,110
2009-06,Java,90
2009-07,Java,352
2009-08,Java,114
2009-09,Java,191
2009-10,Java,223
2009-11,Java,267
2009-12,Java,224
2010-01,Java,499
2010-02,Java,394
2010-03,Java,477
2010-04,Java,462
2010-05,Java,717
2010-06,Java,435
2010-07,Java,613
2010-08,Java,486
2010-09,Java,585
2010-10,Java,800
2010-11,Java,1073
2010-12,Java,1140
2011-01,Java,1141
2011-02,Java,1914
2011-03,Java,2084
2011-04,Java,1912
2011-05,Java,2294
2011-06,Java,2613
2011-07,Java,2984
2011-08,Java,3562
2011-09,Java,4579
2011-10,Java,7244
2011-11,Java,5850
2011-12,Java,7113
2012-01,Java,9319
2012-02,Java,14279
2012-03,Java,40748
2012-04,Java,51130
2012-05,Java,51420
2012-06,Java,39882
2012-07,Java,42210
2012-08,Java,42185
2012-09,Java,22999
2012-10,Java,22039
2012-11,Java,22893
2012-12,Java,24387
2013-01,Java,29870
2013-02,Java,28903
2013-03,Java,36580
2013-04,Java,32942
2013-05,Java,36527
2013-06,Java,28794
2013-07,Java,30405
2013-08,Java,27903
2013-09,Java,22524
