months,repository_language,lang_count
2008-03,JavaScript,35
2008-04,JavaScript,65
2008-05,JavaScript,107
2008-06,JavaScript,69
2008-07,JavaScript,66
2008-08,JavaScript,47
2008-09,JavaScript,41
2008-10,JavaScript,173
2008-11,JavaScript,126
2008-12,JavaScript,313
2009-01,JavaScript,418
2009-02,JavaScript,166
2009-03,JavaScript,556
2009-04,JavaScript,457
2009-05,JavaScript,500
2009-06,JavaScript,470
2009-07,JavaScript,327
2009-08,JavaScript,283
2009-09,JavaScript,609
2009-10,JavaScript,739
2009-11,JavaScript,1183
2009-12,JavaScript,1816
2010-01,JavaScript,1678
2010-02,JavaScript,1533
2010-03,JavaScript,2800
2010-04,JavaScript,1379
2010-05,JavaScript,1801
2010-06,JavaScript,1883
2010-07,JavaScript,3233
2010-08,JavaScript,2957
2010-09,JavaScript,4825
2010-10,JavaScript,3225
2010-11,JavaScript,3780
2010-12,JavaScript,3386
2011-01,JavaScript,4274
2011-02,JavaScript,5498
2011-03,JavaScript,7080
2011-04,JavaScript,7592
2011-05,JavaScript,9356
2011-06,JavaScript,9253
2011-07,JavaScript,12181
2011-08,JavaScript,18237
2011-09,JavaScript,21874
2011-10,JavaScript,30465
2011-11,JavaScript,32695
2011-12,JavaScript,34092
2012-01,JavaScript,48184
2012-02,JavaScript,79466
2012-03,JavaScript,270502
2012-04,JavaScript,308884
2012-05,JavaScript,297946
2012-06,JavaScript,260766
2012-07,JavaScript,202815
2012-08,JavaScript,253909
2012-09,JavaScript,129933
2012-10,JavaScript,123578
2012-11,JavaScript,125097
2012-12,JavaScript,112288
2013-01,JavaScript,151522
2013-02,JavaScript,151238
2013-03,JavaScript,186968
2013-04,JavaScript,177206
2013-05,JavaScript,172912
2013-06,JavaScript,164468
2013-07,JavaScript,162677
2013-08,JavaScript,148534
2013-09,JavaScript,123558
