months,repository_language,lang_count
2008-03,Python,28
2008-04,Python,19
2008-05,Python,25
2008-06,Python,36
2008-07,Python,23
2008-08,Python,95
2008-09,Python,37
2008-10,Python,62
2008-11,Python,101
2008-12,Python,285
2009-01,Python,127
2009-02,Python,334
2009-03,Python,391
2009-04,Python,367
2009-05,Python,450
2009-06,Python,424
2009-07,Python,351
2009-08,Python,520
2009-09,Python,626
2009-10,Python,533
2009-11,Python,576
2009-12,Python,774
2010-01,Python,1087
2010-02,Python,1006
2010-03,Python,1342
2010-04,Python,1215
2010-05,Python,1091
2010-06,Python,1268
2010-07,Python,1243
2010-08,Python,1528
2010-09,Python,1539
2010-10,Python,1725
2010-11,Python,1859
2010-12,Python,2540
2011-01,Python,2100
2011-02,Python,2617
2011-03,Python,3235
2011-04,Python,3739
2011-05,Python,3872
2011-06,Python,4464
2011-07,Python,5559
2011-08,Python,5634
2011-09,Python,6977
2011-10,Python,11799
2011-11,Python,9848
2011-12,Python,11325
2012-01,Python,13941
2012-02,Python,24877
2012-03,Python,75753
2012-04,Python,83289
2012-05,Python,80700
2012-06,Python,58766
2012-07,Python,59087
2012-08,Python,65787
2012-09,Python,36768
2012-10,Python,36885
2012-11,Python,32003
2012-12,Python,34080
2013-01,Python,42202
2013-02,Python,36614
2013-03,Python,50989
2013-04,Python,48179
2013-05,Python,47534
2013-06,Python,44083
2013-07,Python,46779
2013-08,Python,47887
2013-09,Python,32172
