months,repository_language,lang_count
2008-03,Scala,0
2008-04,Scala,0
2008-05,Scala,1
2008-08,Scala,2
2008-09,Scala,7
2008-11,Scala,2
2009-01,Scala,1
2009-02,Scala,3
2009-03,Scala,18
2009-04,Scala,10
2009-05,Scala,7
2009-06,Scala,24
2009-07,Scala,23
2009-08,Scala,27
2009-09,Scala,1
2009-10,Scala,35
2009-11,Scala,76
2009-12,Scala,16
2010-01,Scala,73
2010-02,Scala,29
2010-03,Scala,49
2010-04,Scala,21
2010-05,Scala,60
2010-06,Scala,87
2010-07,Scala,195
2010-08,Scala,280
2010-09,Scala,93
2010-10,Scala,169
2010-11,Scala,95
2010-12,Scala,127
2011-01,Scala,180
2011-02,Scala,156
2011-03,Scala,197
2011-04,Scala,228
2011-05,Scala,246
2011-06,Scala,246
2011-07,Scala,265
2011-08,Scala,288
2011-09,Scala,395
2011-10,Scala,709
2011-11,Scala,654
2011-12,Scala,656
2012-01,Scala,1087
2012-02,Scala,2041
2012-03,Scala,7418
2012-04,Scala,9420
2012-05,Scala,8456
2012-06,Scala,8334
2012-07,Scala,4377
2012-08,Scala,7155
2012-09,Scala,2885
2012-10,Scala,3218
2012-11,Scala,3894
2012-12,Scala,3134
2013-01,Scala,3699
2013-02,Scala,3635
2013-03,Scala,3891
2013-04,Scala,4619
2013-05,Scala,4471
2013-06,Scala,4859
2013-07,Scala,4588
2013-08,Scala,4598
2013-09,Scala,3872
